incident_id,title,description,severity,status,reported_by,assigned_to,product_id,customer_id,related_ticket_id,created_at,resolved_at,root_cause,affected_duration_minutes
23,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Closed,26,46,4,33,,2025-05-24T00:00:00,2025-05-25T00:00:00,Export worker pool scaled down during cost optimization (change #8). Min replicas set too low.,221
24,Privilege escalation vulnerability in TechCorp AI Core,Bug in role-based access allows read-only users to access admin endpoints via crafted API call.,P2,Resolved,12,142,1,39,352,2024-10-03T00:00:00,2024-10-04T00:00:00,Authorization middleware missing check on nested resource paths. Found during penetration test.,119
25,DDoS mitigation triggered on Andean Commodities SA tenant,Legitimate traffic from Andean Commodities SA flagged as DDoS. False positive in WAF rule set.,P2,Resolved,29,145,6,26,243,2025-05-21T00:00:00,2025-05-21T00:00:00,WAF rule threshold tuned too aggressively. Andean Commodities SA's bulk API usage pattern resembles attack signature.,52
26,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,Resolved,80,4,1,9,,2025-04-08T00:00:00,2025-04-10T00:00:00,Infrastructure-as-code change applied production rate limits to staging namespace by default.,375
27,Privilege escalation vulnerability in TechCorp AI Core,Bug in role-based access allows read-only users to access admin endpoints via crafted API call.,P2,Resolved,30,145,1,,,2024-07-23T00:00:00,2024-07-23T00:00:00,Authorization middleware missing check on nested resource paths. Found during penetration test.,150
28,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Closed,30,52,1,,112,2025-03-15T00:00:00,2025-03-16T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,273
29,CustomerIQ ML inference pipeline returning stale predictions,Customer-facing recommendations showing data from 48 hours ago. Model cache invalidation broken.,P1,In Progress,52,40,10,,149,2025-01-08T00:00:00,,Feature store sync job deadlocked after database failover. Manual cache flush required.,0
30,DataVault Backup ML inference pipeline returning stale predictions,Customer-facing recommendations showing data from 48 hours ago. Model cache invalidation broken.,P1,Closed,85,138,12,29,40,2025-04-12T00:00:00,2025-04-14T00:00:00,Feature store sync job deadlocked after database failover. Manual cache flush required.,313
31,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Resolved,1,82,1,3,,2024-12-26T00:00:00,2024-12-27T00:00:00,Export worker pool scaled down during cost optimization (change #7). Min replicas set too low.,356
32,DDoS mitigation triggered on  tenant,Legitimate traffic from  flagged as DDoS. False positive in WAF rule set.,P2,Investigating,84,142,4,,,2025-04-05T00:00:00,,WAF rule threshold tuned too aggressively. 's bulk API usage pattern resembles attack signature.,0
33,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,Resolved,79,85,4,48,,2025-02-11T00:00:00,2025-02-11T00:00:00,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,210
34,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Closed,80,7,4,30,,2025-06-15T00:00:00,2025-06-17T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,183
35,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Resolved,38,81,1,,215,2024-09-26T00:00:00,2024-09-26T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,74
36,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Closed,12,41,4,17,,2025-01-02T00:00:00,2025-01-03T00:00:00,Export worker pool scaled down during cost optimization (change #39). Min replicas set too low.,238
37,Cross-region failover not triggering for APAC customers,"Singapore region down, failover to Tokyo did not engage. 200+ Oasis Health Partners users affected.",P1,Closed,33,51,1,37,236,2024-09-25T00:00:00,2024-09-26T00:00:00,Route53 health check threshold configured for US latency profiles. APAC checks timing out before threshold.,201
38,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Closed,79,142,1,,68,2025-01-25T00:00:00,2025-01-27T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,182
39,CustomerIQ ML inference pipeline returning stale predictions,Customer-facing recommendations showing data from 48 hours ago. Model cache invalidation broken.,P1,Closed,84,145,10,13,,2025-03-30T00:00:00,2025-03-31T00:00:00,Feature store sync job deadlocked after database failover. Manual cache flush required.,222
40,InsightFlow Analytics dashboard latency exceeding SLA,Dashboard load times spiked to 8.2s (SLA: 2s). Root cause: unoptimized query in analytics pipeline after schema migration.,P2,Closed,85,140,4,14,175,2024-11-13T00:00:00,2024-11-15T00:00:00,Schema migration (change #48) introduced a Cartesian join in the analytics view. Query planner regression.,257
41,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Resolved,39,12,4,,,2024-08-14T00:00:00,2024-08-15T00:00:00,Export worker pool scaled down during cost optimization (change #20). Min replicas set too low.,359
42,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,Resolved,30,7,1,,261,2025-05-21T00:00:00,2025-05-22T00:00:00,Infrastructure-as-code change applied production rate limits to staging namespace by default.,382
43,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,Resolved,30,144,1,16,58,2025-03-07T00:00:00,2025-03-09T00:00:00,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,252
44,Cross-region failover not triggering for APAC customers,"Singapore region down, failover to Tokyo did not engage. 200+ MediCare Plus users affected.",P1,Closed,87,43,1,8,,2024-09-14T00:00:00,2024-09-16T00:00:00,Route53 health check threshold configured for US latency profiles. APAC checks timing out before threshold.,328
45,Cross-region failover not triggering for APAC customers,"Singapore region down, failover to Tokyo did not engage. 200+ Summit Retail Brands users affected.",P1,In Progress,86,45,1,36,,2025-02-15T00:00:00,,Route53 health check threshold configured for US latency profiles. APAC checks timing out before threshold.,0
46,CustomerIQ ML inference pipeline returning stale predictions,Customer-facing recommendations showing data from 48 hours ago. Model cache invalidation broken.,P1,Resolved,89,143,10,,242,2025-02-01T00:00:00,2025-02-02T00:00:00,Feature store sync job deadlocked after database failover. Manual cache flush required.,178
47,SSO authentication failure for Northern Trust Bank,SSO integration returning 500 errors for all Northern Trust Bank users. Certificate expired at 03:14 UTC.,P1,Resolved,82,147,1,15,118,2024-12-01T00:00:00,2024-12-03T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,227
48,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,Resolved,82,140,1,,,2024-09-06T00:00:00,2024-09-06T00:00:00,Infrastructure-as-code change applied production rate limits to staging namespace by default.,195
49,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,In Progress,84,137,1,,,2024-08-23T00:00:00,,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,0
50,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,In Progress,7,83,1,32,377,2025-04-04T00:00:00,,Infrastructure-as-code change applied production rate limits to staging namespace by default.,0
51,Privilege escalation vulnerability in TechCorp AI Core,Bug in role-based access allows read-only users to access admin endpoints via crafted API call.,P2,Resolved,7,40,3,26,76,2025-06-02T00:00:00,2025-06-03T00:00:00,Authorization middleware missing check on nested resource paths. Found during penetration test.,123
52,DDoS mitigation triggered on NovaTech Innovations tenant,Legitimate traffic from NovaTech Innovations flagged as DDoS. False positive in WAF rule set.,P2,Resolved,38,85,6,25,44,2024-09-24T00:00:00,2024-09-25T00:00:00,WAF rule threshold tuned too aggressively. NovaTech Innovations's bulk API usage pattern resembles attack signature.,129
53,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Closed,12,7,1,,,2025-06-17T00:00:00,2025-06-18T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,79
54,SSO authentication failure for Singapore Health Systems,SSO integration returning 500 errors for all Singapore Health Systems users. Certificate expired at 03:14 UTC.,P1,Investigating,87,147,1,14,204,2024-08-21T00:00:00,,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,0
55,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Investigating,31,7,10,,14,2024-07-16T00:00:00,,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,0
56,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,In Progress,33,4,1,,354,2024-07-06T00:00:00,,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,0
57,Privilege escalation vulnerability in TechCorp AI Core,Bug in role-based access allows read-only users to access admin endpoints via crafted API call.,P2,Closed,12,81,1,,372,2024-10-11T00:00:00,2024-10-11T00:00:00,Authorization middleware missing check on nested resource paths. Found during penetration test.,449
58,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Resolved,87,148,8,24,100,2024-07-29T00:00:00,2024-07-31T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,411
59,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,In Progress,38,79,2,47,,2025-02-05T00:00:00,,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,0
60,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Resolved,82,80,8,43,184,2025-03-11T00:00:00,2025-03-12T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,189
