log_id,timestamp,user_id,action,entity_type,entity_id,details,ip_address,result
23,2026-05-25T08:54:40.542446,13,release.promoted,ChangeRequest,162,Action: release.promoted | Target: ChangeRequest/162 | Source: web-ui,10.2.0.50,Success
24,2026-05-20T10:57:40.542451,68,data.view_sensitive,Incident,90,Automated data.view_sensitive triggered for Incident#90,10.1.7.246,Success
25,2026-04-11T12:58:40.542456,127,data.export,Incident,197,Action: data.export | Target: Incident/197 | Source: web-ui,10.4.4.82,Success
26,2026-04-15T01:38:40.542461,98,api.key_created,Incident,119,API Management event — api.key_created on Incident#119 from IP 10.4.6.158,10.4.1.49,Success
27,2026-04-07T02:26:40.542466,55,admin.role_assignment,Release,47,Authorization event — admin.role_assignment on Release#47 from IP 10.3.1.62,10.3.6.166,Success
28,2026-04-12T15:33:40.542471,103,deployment.triggered,Product,66,Admin action: deployment.triggered | Product#66 | Result: Success,10.2.5.91,Success
29,2026-04-26T02:50:40.542476,14,user.login,Incident,66,Authentication event — user.login on Incident#66 from IP 10.3.7.164,10.3.2.247,Blocked
30,2026-06-22T04:09:40.542481,126,change.approved,Incident,69,User David Patel performed change.approved on Incident#69,10.3.0.185,Blocked
31,2026-06-11T12:42:40.542486,118,api.rate_limit_hit,Release,31,User Ingrid Kowalski performed api.rate_limit_hit on Release#31,10.0.4.136,Success
32,2026-05-25T12:59:40.542490,26,data.export,Report,138,Automated data.export triggered for Report#138,10.1.3.55,Success
33,2026-05-15T22:03:40.542497,12,user.logout,User,29,Action: user.logout | Target: User/29 | Source: web-ui,10.1.4.221,Success
34,2026-05-29T13:48:40.542502,78,admin.role_assignment,Report,91,Action: admin.role_assignment | Target: Report/91 | Source: web-ui,10.1.1.22,Success
35,2026-06-26T12:44:40.542507,55,api.key_revoked,Report,158,API Management event — api.key_revoked on Report#158 from IP 10.3.9.156,10.3.1.93,Success
36,2026-05-31T10:20:40.542511,21,user.password_change,Incident,105,Action: user.password_change | Target: Incident/105 | Source: web-ui,10.1.8.7,Success
37,2026-05-20T04:12:40.542516,12,user.password_change,Incident,172,Automated user.password_change triggered for Incident#172,10.1.3.195,Failure
38,2026-05-03T03:40:40.542521,22,admin.role_assignment,Project,105,Admin action: admin.role_assignment | Project#105 | Result: Success,10.4.8.108,Success
39,2026-05-25T10:53:40.542525,2,api.key_revoked,Report,196,Admin action: api.key_revoked | Report#196 | Result: Success,10.2.2.21,Success
40,2026-04-11T04:56:40.542530,2,data.view_sensitive,APIKey,130,Data Access event — data.view_sensitive on APIKey#130 from IP 10.1.3.65,10.0.9.82,Success
41,2026-06-02T11:29:40.542535,112,user.login_failed,Product,104,Action: user.login_failed | Target: Product/104 | Source: web-ui,10.4.6.30,Success
42,2026-04-29T17:06:40.542539,65,data.export_large,Configuration,154,User Ingrid Patel performed data.export_large on Configuration#154,10.2.9.44,Failure
43,2026-05-11T17:18:40.542544,118,user.login,Release,93,Automated user.login triggered for Release#93,10.0.5.196,Success
44,2026-05-25T05:51:40.542549,73,api.rate_limit_hit,Release,59,Action: api.rate_limit_hit | Target: Release/59 | Source: web-ui,10.1.0.222,Blocked
45,2026-05-13T16:01:40.542554,53,admin.role_assignment,User,98,Action: admin.role_assignment | Target: User/98 | Source: web-ui,10.0.5.244,Success
46,2026-04-22T09:21:40.542561,9,change.rejected,ChangeRequest,21,Automated change.rejected triggered for ChangeRequest#21,10.1.7.246,Success
47,2026-06-07T01:45:40.542566,63,admin.config_update,Configuration,80,Admin action: admin.config_update | Configuration#80 | Result: Success,10.0.3.93,Success
48,2026-04-29T03:52:40.542571,48,change.approved,ChangeRequest,141,Action: change.approved | Target: ChangeRequest/141 | Source: web-ui,10.3.8.222,Success
49,2026-06-06T00:42:40.542576,14,user.login_failed,Project,69,Authentication event — user.login_failed on Project#69 from IP 10.3.5.178,10.4.6.166,Success
50,2026-05-28T17:29:40.542580,40,admin.config_update,Report,48,Configuration event — admin.config_update on Report#48 from IP 10.4.9.110,10.3.3.28,Failure
51,2026-05-09T13:39:40.542585,149,user.login,Report,15,Action: user.login | Target: Report/15 | Source: web-ui,10.1.5.154,Success
52,2026-05-28T03:38:40.542590,110,change.rejected,ChangeRequest,119,Action: change.rejected | Target: ChangeRequest/119 | Source: web-ui,10.1.0.116,Success
53,2026-06-11T17:31:40.542595,7,release.promoted,Project,97,Automated release.promoted triggered for Project#97,10.3.5.127,Success
54,2026-04-07T01:27:40.542600,122,incident.resolved,Report,120,Automated incident.resolved triggered for Report#120,10.4.8.123,Success
55,2026-04-26T12:58:40.542605,123,data.export,Product,129,Admin action: data.export | Product#129 | Result: Success,10.2.3.180,Success
56,2026-05-11T08:26:40.542610,28,data.export_large,Configuration,98,Action: data.export_large | Target: Configuration/98 | Source: web-ui,10.4.8.102,Success
57,2026-04-08T13:21:40.542615,59,user.login,Configuration,199,Action: user.login | Target: Configuration/199 | Source: web-ui,10.4.1.221,Failure
58,2026-06-26T09:52:40.542621,120,data.export_large,Incident,37,Automated data.export_large triggered for Incident#37,10.3.0.21,Success
59,2026-06-12T04:46:40.542626,111,deployment.triggered,Incident,119,User Raj Kim performed deployment.triggered on Incident#119,10.1.9.15,Success
60,2026-05-09T20:54:40.542631,10,api.key_created,Release,120,API Management event — api.key_created on Release#120 from IP 10.3.8.150,10.2.2.225,Success
61,2026-06-20T06:28:40.542638,141,incident.created,User,123,Action: incident.created | Target: User/123 | Source: web-ui,10.0.0.182,Success
62,2026-06-21T17:17:40.542643,38,user.password_change,Report,70,Authentication event — user.password_change on Report#70 from IP 10.3.3.156,10.0.1.142,Success
63,2026-05-01T06:10:40.542647,122,deployment.triggered,Release,157,User Olga Okafor performed deployment.triggered on Release#157,10.3.3.89,Success
64,2026-04-27T04:01:40.542652,30,change.approved,APIKey,195,Admin action: change.approved | APIKey#195 | Result: Success,10.4.7.1,Success
65,2026-05-16T20:04:40.542658,14,change.approved,Product,97,Change Management event — change.approved on Product#97 from IP 10.4.6.155,10.0.9.73,Success
66,2026-05-10T09:24:40.542663,53,user.mfa_enabled,Project,158,Authentication event — user.mfa_enabled on Project#158 from IP 10.0.2.214,10.0.0.199,Success
67,2026-06-04T03:58:40.542668,52,user.mfa_enabled,Configuration,146,Automated user.mfa_enabled triggered for Configuration#146,10.3.5.73,Success
68,2026-06-20T11:55:40.542672,73,change.approved,Incident,1,Automated change.approved triggered for Incident#1,10.0.4.67,Success
69,2026-04-26T14:44:40.542677,138,admin.role_assignment,Product,173,Admin action: admin.role_assignment | Product#173 | Result: Success,10.4.6.243,Success
70,2026-04-17T23:53:40.542682,139,api.key_created,ChangeRequest,148,API Management event — api.key_created on ChangeRequest#148 from IP 10.4.7.221,10.4.0.187,Failure
71,2026-05-23T22:00:40.542687,40,data.view_sensitive,Report,175,User Chen Kowalski performed data.view_sensitive on Report#175,10.2.7.251,Failure
72,2026-05-21T02:03:40.542692,80,deployment.rollback,Release,131,Admin action: deployment.rollback | Release#131 | Result: Blocked,10.1.9.95,Blocked
73,2026-05-31T09:53:40.542697,26,data.export,Product,143,Action: data.export | Target: Product/143 | Source: web-ui,10.0.6.92,Blocked
74,2026-05-08T04:13:40.542702,108,incident.resolved,Configuration,191,Action: incident.resolved | Target: Configuration/191 | Source: web-ui,10.1.0.122,Success
75,2026-05-19T16:22:40.542706,142,change.rejected,Project,199,Action: change.rejected | Target: Project/199 | Source: web-ui,10.2.6.183,Success
76,2026-06-13T08:34:40.542711,4,deployment.rollback,Release,95,Automated deployment.rollback triggered for Release#95,10.3.7.243,Success
77,2026-05-23T10:10:40.542716,122,admin.permission_change,Configuration,61,Action: admin.permission_change | Target: Configuration/61 | Source: web-ui,10.3.8.146,Success
78,2026-06-18T14:59:40.542721,112,data.view_sensitive,Project,26,Admin action: data.view_sensitive | Project#26 | Result: Success,10.2.7.164,Success
79,2026-06-28T02:38:40.542725,20,deployment.rollback,Product,14,Deployment event — deployment.rollback on Product#14 from IP 10.1.8.203,10.4.3.199,Success
80,2026-05-20T07:43:40.542730,19,api.key_created,User,43,User Carlos Brown performed api.key_created on User#43,10.0.2.140,Success
81,2026-05-09T02:43:40.542735,12,change.rejected,Incident,44,Admin action: change.rejected | Incident#44 | Result: Success,10.3.3.238,Success
82,2026-04-29T21:55:40.542740,83,user.login_failed,Product,17,Admin action: user.login_failed | Product#17 | Result: Success,10.0.6.51,Success
83,2026-05-09T07:07:40.542745,62,deployment.rollback,ChangeRequest,9,Automated deployment.rollback triggered for ChangeRequest#9,10.2.3.36,Success
84,2026-03-30T05:23:40.542749,93,incident.created,ChangeRequest,168,Incident Management event — incident.created on ChangeRequest#168 from IP 10.1.5.43,10.4.2.248,Success
85,2026-06-08T19:40:40.542754,56,data.view_sensitive,Incident,119,Admin action: data.view_sensitive | Incident#119 | Result: Success,10.0.7.151,Success
86,2026-06-08T18:45:40.542759,26,user.mfa_enabled,APIKey,33,Authentication event — user.mfa_enabled on APIKey#33 from IP 10.2.1.118,10.3.7.93,Success
87,2026-06-12T21:07:40.542764,142,admin.role_assignment,Configuration,105,Admin action: admin.role_assignment | Configuration#105 | Result: Failure,10.1.9.131,Failure
88,2026-06-08T05:37:40.542768,140,admin.permission_change,User,94,User Ahmed Bauer performed admin.permission_change on User#94,10.1.6.68,Success
89,2026-04-05T04:59:40.542773,50,api.key_revoked,APIKey,119,Automated api.key_revoked triggered for APIKey#119,10.0.8.146,Success
90,2026-04-16T19:38:40.542778,127,data.view_sensitive,Release,193,Data Access event — data.view_sensitive on Release#193 from IP 10.1.0.150,10.2.6.209,Success
91,2026-06-23T13:34:40.542783,144,user.login_failed,Release,38,Authentication event — user.login_failed on Release#38 from IP 10.3.1.242,10.1.3.12,Success
92,2026-06-26T21:26:40.542787,125,admin.config_update,User,198,Configuration event — admin.config_update on User#198 from IP 10.3.9.169,10.2.1.191,Success
93,2026-04-25T11:36:40.542792,25,user.login,APIKey,198,Admin action: user.login | APIKey#198 | Result: Success,10.1.7.163,Success
94,2026-04-10T22:37:40.542797,119,incident.created,Report,152,User Lucas Williams performed incident.created on Report#152,10.2.9.88,Success
95,2026-05-01T16:31:40.542802,88,change.approved,Report,194,Admin action: change.approved | Report#194 | Result: Success,10.4.0.114,Success
96,2026-04-11T23:35:40.542807,140,user.login_failed,Configuration,119,Action: user.login_failed | Target: Configuration/119 | Source: web-ui,10.2.8.249,Failure
97,2026-04-03T23:33:40.542811,91,data.export,User,59,Admin action: data.export | User#59 | Result: Success,10.1.4.200,Success
98,2026-05-09T17:22:40.542817,61,user.logout,APIKey,62,Authentication event — user.logout on APIKey#62 from IP 10.0.4.231,10.3.4.134,Success
99,2026-04-08T08:00:40.542821,125,incident.resolved,User,129,Automated incident.resolved triggered for User#129,10.3.7.108,Success
100,2026-05-10T00:03:40.542827,86,admin.permission_change,Project,61,Action: admin.permission_change | Target: Project/61 | Source: web-ui,10.0.0.233,Success
101,2026-05-28T02:48:40.542832,17,api.rate_limit_hit,Release,166,API Management event — api.rate_limit_hit on Release#166 from IP 10.4.8.87,10.1.0.230,Success
102,2026-05-05T11:03:40.542837,73,data.export_large,Configuration,42,Data Access event — data.export_large on Configuration#42 from IP 10.0.6.76,10.1.9.245,Success
103,2026-06-13T17:34:40.542842,14,incident.resolved,Project,40,Incident Management event — incident.resolved on Project#40 from IP 10.4.9.176,10.1.1.139,Success
104,2026-04-25T00:20:40.542847,134,user.password_change,Release,32,Admin action: user.password_change | Release#32 | Result: Success,10.1.7.242,Success
105,2026-06-06T04:58:40.542852,107,user.login_failed,Project,91,User Hannah Morales performed user.login_failed on Project#91,10.4.0.4,Success
106,2026-05-16T12:16:40.542857,13,user.login_failed,Product,38,Action: user.login_failed | Target: Product/38 | Source: web-ui,10.3.0.223,Success
107,2026-05-10T04:43:40.542861,105,release.promoted,User,88,Action: release.promoted | Target: User/88 | Source: web-ui,10.1.0.205,Success
108,2026-05-29T19:50:40.542867,142,admin.permission_change,Project,191,Admin action: admin.permission_change | Project#191 | Result: Failure,10.4.9.184,Failure
109,2026-05-12T10:52:40.542871,118,deployment.triggered,Release,165,Action: deployment.triggered | Target: Release/165 | Source: web-ui,10.0.0.61,Success
110,2026-05-11T21:28:40.542876,106,change.approved,User,171,Change Management event — change.approved on User#171 from IP 10.0.0.122,10.2.9.228,Success
111,2026-04-23T00:00:40.542882,33,user.login_failed,Project,153,Automated user.login_failed triggered for Project#153,10.3.1.226,Success
112,2026-06-23T21:29:40.542887,103,incident.resolved,Project,160,Automated incident.resolved triggered for Project#160,10.1.8.236,Success
113,2026-04-04T13:05:40.542892,26,user.logout,User,77,Action: user.logout | Target: User/77 | Source: web-ui,10.1.8.27,Success
114,2026-05-13T15:18:40.542897,124,data.view_sensitive,Project,136,Automated data.view_sensitive triggered for Project#136,10.0.1.119,Success
115,2026-06-17T12:50:40.542901,83,user.login,Release,48,User Linh Okafor performed user.login on Release#48,10.2.3.98,Success
116,2026-05-17T06:53:40.542906,21,user.password_change,ChangeRequest,197,Action: user.password_change | Target: ChangeRequest/197 | Source: web-ui,10.3.7.142,Success
117,2026-05-20T00:01:40.542911,65,user.login_failed,User,71,Admin action: user.login_failed | User#71 | Result: Success,10.3.7.62,Success
118,2026-05-21T13:52:40.542915,91,incident.resolved,Report,169,Incident Management event — incident.resolved on Report#169 from IP 10.0.2.160,10.2.7.27,Success
119,2026-06-22T13:45:40.542920,101,user.login_failed,ChangeRequest,190,User Chen Okafor performed user.login_failed on ChangeRequest#190,10.0.6.227,Success
120,2026-05-08T00:43:40.542925,7,deployment.rollback,APIKey,93,Admin action: deployment.rollback | APIKey#93 | Result: Success,10.1.5.247,Success
121,2026-04-05T23:05:40.542929,101,user.login_failed,Product,48,User Chen Okafor performed user.login_failed on Product#48,10.3.0.86,Failure
122,2026-04-02T01:34:40.542934,31,admin.permission_change,Product,189,Admin action: admin.permission_change | Product#189 | Result: Blocked,10.1.7.160,Blocked
123,2026-05-29T16:22:40.542939,51,change.approved,APIKey,141,Automated change.approved triggered for APIKey#141,10.1.2.106,Success
124,2026-05-07T23:23:40.542943,88,incident.created,Release,35,Incident Management event — incident.created on Release#35 from IP 10.1.8.142,10.1.6.17,Failure
125,2026-04-06T22:18:40.542948,30,change.rejected,Configuration,66,Automated change.rejected triggered for Configuration#66,10.3.8.27,Success
126,2026-06-04T21:12:40.542953,71,admin.permission_change,Product,148,Action: admin.permission_change | Target: Product/148 | Source: web-ui,10.0.8.139,Success
127,2026-06-22T18:45:40.542958,65,user.logout,Incident,191,Action: user.logout | Target: Incident/191 | Source: web-ui,10.1.7.213,Success
128,2026-06-13T19:49:40.542962,12,user.password_change,Incident,184,Action: user.password_change | Target: Incident/184 | Source: web-ui,10.2.8.213,Success
129,2026-05-18T04:25:40.542967,38,user.mfa_enabled,Project,95,Authentication event — user.mfa_enabled on Project#95 from IP 10.4.3.225,10.2.8.153,Success
130,2026-05-14T10:54:40.542972,38,admin.permission_change,Incident,100,Action: admin.permission_change | Target: Incident/100 | Source: web-ui,10.3.1.153,Success
131,2026-05-27T17:22:40.542976,81,deployment.rollback,Configuration,13,User Ahmed Santos performed deployment.rollback on Configuration#13,10.4.8.69,Success
132,2026-06-14T08:40:40.542981,88,deployment.triggered,Incident,106,Automated deployment.triggered triggered for Incident#106,10.4.9.155,Success
133,2026-04-14T03:27:40.542986,140,user.login,Report,17,Automated user.login triggered for Report#17,10.1.2.244,Success
134,2026-06-08T02:35:40.542991,141,data.export,Configuration,70,User Diego Silva performed data.export on Configuration#70,10.1.5.31,Success
135,2026-04-19T01:08:40.542996,144,release.promoted,Configuration,57,Release event — release.promoted on Configuration#57 from IP 10.0.7.22,10.4.6.133,Failure
136,2026-04-05T00:58:40.543010,73,api.key_created,Project,70,User Hiroshi Fischer performed api.key_created on Project#70,10.0.4.16,Success
137,2026-05-27T10:01:40.543015,26,change.approved,Incident,73,Admin action: change.approved | Incident#73 | Result: Blocked,10.3.7.14,Blocked
138,2026-06-28T13:48:40.543020,49,incident.created,APIKey,136,Admin action: incident.created | APIKey#136 | Result: Success,10.2.7.19,Success
139,2026-06-04T12:43:40.543024,103,change.approved,User,124,Automated change.approved triggered for User#124,10.1.6.52,Success
140,2026-04-11T23:13:40.543029,54,data.export,Configuration,172,Automated data.export triggered for Configuration#172,10.4.0.74,Success
141,2026-05-16T06:19:40.543034,69,admin.permission_change,Release,12,Authorization event — admin.permission_change on Release#12 from IP 10.3.4.89,10.3.1.206,Success
142,2026-04-01T15:43:40.543038,129,admin.role_assignment,Report,5,Action: admin.role_assignment | Target: Report/5 | Source: web-ui,10.2.6.126,Success
143,2026-04-20T18:45:40.543043,55,user.logout,APIKey,106,Automated user.logout triggered for APIKey#106,10.4.6.87,Success
144,2026-05-12T14:47:40.543047,61,user.mfa_enabled,Incident,56,Automated user.mfa_enabled triggered for Incident#56,10.0.7.193,Success
145,2026-05-16T10:10:40.543052,134,data.export,Incident,24,Admin action: data.export | Incident#24 | Result: Success,10.3.4.161,Success
146,2026-04-01T09:15:40.543057,68,release.promoted,User,122,User Leila Chen performed release.promoted on User#122,10.3.1.147,Success
147,2026-06-17T01:12:40.543062,124,admin.permission_change,Release,26,Authorization event — admin.permission_change on Release#26 from IP 10.3.7.34,10.0.0.2,Success
148,2026-05-02T00:05:40.543066,105,api.rate_limit_hit,Release,193,User Nia Morales performed api.rate_limit_hit on Release#193,10.4.0.117,Success
149,2026-06-06T12:35:40.543071,2,change.approved,ChangeRequest,50,Action: change.approved | Target: ChangeRequest/50 | Source: web-ui,10.1.2.161,Success
150,2026-05-01T16:07:40.543076,53,admin.permission_change,Product,76,Action: admin.permission_change | Target: Product/76 | Source: web-ui,10.0.2.8,Success
151,2026-05-20T20:22:40.543080,55,user.password_change,Release,161,Action: user.password_change | Target: Release/161 | Source: web-ui,10.3.0.142,Success
152,2026-06-24T00:38:40.543085,7,api.key_revoked,Product,96,User Jin Muller performed api.key_revoked on Product#96,10.0.5.120,Success
153,2026-05-06T14:22:40.543090,57,admin.config_update,Project,40,Configuration event — admin.config_update on Project#40 from IP 10.1.0.183,10.4.6.10,Success
154,2026-04-13T00:07:40.543095,100,incident.created,APIKey,41,Automated incident.created triggered for APIKey#41,10.1.1.27,Success
155,2026-05-25T22:36:40.543100,132,change.rejected,ChangeRequest,81,User Samuel Silva performed change.rejected on ChangeRequest#81,10.1.2.168,Failure
156,2026-04-21T02:50:40.543104,90,api.key_revoked,Configuration,198,User Carlos Kowalski performed api.key_revoked on Configuration#198,10.4.4.203,Success
157,2026-03-30T23:55:40.543109,10,user.mfa_enabled,Incident,189,Automated user.mfa_enabled triggered for Incident#189,10.4.1.230,Success
158,2026-06-04T23:53:40.543114,33,change.approved,User,133,Action: change.approved | Target: User/133 | Source: web-ui,10.0.3.70,Success
159,2026-04-19T15:28:40.543119,15,incident.created,Incident,138,Incident Management event — incident.created on Incident#138 from IP 10.0.6.9,10.1.6.215,Success
160,2026-05-05T01:55:40.543123,33,data.view_sensitive,Product,12,Action: data.view_sensitive | Target: Product/12 | Source: web-ui,10.4.5.19,Success
161,2026-04-10T03:45:40.543128,19,release.promoted,Report,38,Admin action: release.promoted | Report#38 | Result: Success,10.0.5.44,Success
162,2026-05-24T07:48:40.543133,136,data.view_sensitive,Product,175,User Ahmed Morales performed data.view_sensitive on Product#175,10.4.2.226,Success
163,2026-06-06T17:58:40.543138,4,user.login,Project,83,User Thabo Kim performed user.login on Project#83,10.4.4.96,Success
164,2026-04-20T21:26:40.543142,142,admin.permission_change,Project,113,Admin action: admin.permission_change | Project#113 | Result: Success,10.0.1.170,Success
165,2026-04-03T13:59:40.543147,106,user.mfa_enabled,Release,98,Authentication event — user.mfa_enabled on Release#98 from IP 10.4.1.164,10.4.8.138,Failure
166,2026-04-20T13:11:40.543152,74,data.export_large,Product,22,Automated data.export_large triggered for Product#22,10.1.8.134,Success
167,2026-05-23T01:10:40.543157,16,deployment.rollback,Product,45,Automated deployment.rollback triggered for Product#45,10.3.0.63,Success
168,2026-06-22T22:46:40.543161,130,user.logout,APIKey,7,Action: user.logout | Target: APIKey/7 | Source: web-ui,10.2.4.96,Success
169,2026-04-23T09:16:40.543166,103,api.key_created,Project,93,Admin action: api.key_created | Project#93 | Result: Success,10.0.7.237,Success
170,2026-04-24T10:29:40.543171,124,admin.role_assignment,Product,69,Authorization event — admin.role_assignment on Product#69 from IP 10.0.3.41,10.2.0.2,Success
171,2026-06-22T21:19:40.543175,112,admin.config_update,User,142,Action: admin.config_update | Target: User/142 | Source: web-ui,10.2.6.117,Success
172,2026-04-09T20:55:40.543181,136,change.rejected,Release,5,Action: change.rejected | Target: Release/5 | Source: web-ui,10.0.4.42,Failure
173,2026-05-09T08:56:40.543185,78,user.logout,User,32,Admin action: user.logout | User#32 | Result: Success,10.4.7.162,Success
174,2026-06-06T00:19:40.543190,74,user.login,ChangeRequest,165,Admin action: user.login | ChangeRequest#165 | Result: Success,10.1.2.129,Success
175,2026-06-20T05:32:40.543195,51,api.key_revoked,Report,166,User Jin Patel performed api.key_revoked on Report#166,10.0.9.33,Success
176,2026-04-15T21:07:40.543200,90,api.key_revoked,Product,134,Automated api.key_revoked triggered for Product#134,10.1.9.50,Success
177,2026-06-12T06:03:40.543204,2,admin.config_update,Incident,108,Automated admin.config_update triggered for Incident#108,10.1.3.203,Success
178,2026-04-30T15:57:40.543209,94,user.password_change,ChangeRequest,22,Automated user.password_change triggered for ChangeRequest#22,10.1.0.27,Success
179,2026-06-05T04:59:40.543214,111,api.key_created,ChangeRequest,11,API Management event — api.key_created on ChangeRequest#11 from IP 10.4.3.150,10.2.1.236,Success
180,2026-06-25T20:44:40.543218,50,incident.resolved,ChangeRequest,50,Automated incident.resolved triggered for ChangeRequest#50,10.1.8.13,Success
181,2026-06-15T06:34:40.543224,2,data.export_large,Incident,188,Admin action: data.export_large | Incident#188 | Result: Success,10.1.1.130,Success
182,2026-04-10T19:46:40.543228,100,data.export,Product,120,User Isabella Ali performed data.export on Product#120,10.1.8.175,Success
183,2026-06-02T11:36:40.543234,11,release.promoted,ChangeRequest,62,Action: release.promoted | Target: ChangeRequest/62 | Source: web-ui,10.3.3.240,Blocked
184,2026-05-31T12:58:40.543239,95,data.export,Project,102,Admin action: data.export | Project#102 | Result: Success,10.2.9.85,Success
185,2026-06-21T22:37:40.543244,138,incident.created,Project,140,Action: incident.created | Target: Project/140 | Source: web-ui,10.3.1.197,Success
186,2026-05-18T10:47:40.543249,33,admin.permission_change,Configuration,165,User David Fischer performed admin.permission_change on Configuration#165,10.0.5.105,Failure
187,2026-06-16T03:17:40.543254,148,change.rejected,Release,100,Admin action: change.rejected | Release#100 | Result: Failure,10.0.0.138,Failure
188,2026-06-24T23:43:40.543259,50,user.login,Incident,7,User Kwame Santos performed user.login on Incident#7,10.3.5.117,Success
189,2026-05-11T07:19:40.543265,80,user.mfa_enabled,Incident,177,Authentication event — user.mfa_enabled on Incident#177 from IP 10.3.2.21,10.4.7.11,Success
190,2026-04-09T20:36:40.543270,29,data.export_large,Configuration,1,Data Access event — data.export_large on Configuration#1 from IP 10.3.9.85,10.0.8.163,Success
191,2026-06-19T13:54:40.543275,16,user.logout,ChangeRequest,155,Admin action: user.logout | ChangeRequest#155 | Result: Success,10.1.8.128,Success
192,2026-05-09T01:19:40.543279,88,user.password_change,Incident,60,Admin action: user.password_change | Incident#60 | Result: Success,10.0.8.251,Success
193,2026-06-08T11:11:40.543284,52,api.rate_limit_hit,Product,186,User Priya Novak performed api.rate_limit_hit on Product#186,10.1.5.125,Success
194,2026-05-06T15:44:40.543289,81,deployment.triggered,Release,87,Deployment event — deployment.triggered on Release#87 from IP 10.0.2.90,10.0.8.99,Success
195,2026-04-09T17:00:40.543294,123,incident.created,User,94,Automated incident.created triggered for User#94,10.2.5.130,Success
196,2026-04-01T14:42:40.543298,130,api.rate_limit_hit,User,133,User Hiroshi Kowalski performed api.rate_limit_hit on User#133,10.0.2.183,Success
197,2026-05-13T05:24:40.543303,11,admin.permission_change,Report,53,User Raj Morales performed admin.permission_change on Report#53,10.2.4.233,Failure
198,2026-06-01T14:38:40.543308,135,user.mfa_enabled,Project,83,Authentication event — user.mfa_enabled on Project#83 from IP 10.1.6.98,10.2.2.242,Success
199,2026-06-05T04:13:40.543313,129,user.logout,Report,141,Automated user.logout triggered for Report#141,10.2.7.97,Success
200,2026-05-26T08:02:40.543318,35,incident.resolved,Incident,135,Action: incident.resolved | Target: Incident/135 | Source: web-ui,10.1.9.155,Blocked
201,2026-06-04T07:30:40.543322,7,incident.resolved,Report,115,Admin action: incident.resolved | Report#115 | Result: Success,10.4.7.132,Success
