issue_id,issue_key,summary,description,issue_type,status,priority,reporter_id,assignee_id,project_id,epic_id,sprint,story_points,created_date,updated_date,resolved_date,related_incident_id
63,TC-0063,Update monitoring thresholds for TechCorp AI Core,Update monitoring thresholds for TechCorp AI Core. See linked documents for full context.,Task,In Progress,Medium,90,61,23,1,2025-S2,5,2024-11-26,2024-12-07,,
64,TC-0064,Update monitoring thresholds for TeamSync Collaboration,Update monitoring thresholds for TeamSync Collaboration. See linked documents for full context.,Bug,In Progress,High,39,55,3,,2025-S1,,2024-07-18,2024-08-05,,
65,TC-0065,Refactor auth middleware for InsightFlow Analytics,Refactor auth middleware for InsightFlow Analytics. See linked documents for full context.,Task,Done,High,134,139,18,,,1,2025-01-08,2025-01-23,2025-02-07,
66,TC-0066,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,Done,Low,140,33,8,,2025-S4,,2024-09-18,2024-09-27,2024-09-27,
67,TC-0067,Document TeamSync Collaboration API rate limits,Document TeamSync Collaboration API rate limits. See linked documents for full context.,Task,To Do,High,120,130,16,,2025-S4,2,2025-01-15,2025-01-19,,
68,TC-0068,Add health check endpoint for InsightFlow Analytics worker,Add health check endpoint for InsightFlow Analytics worker. See linked documents for full context.,Task,Done,Medium,20,28,1,,2025-S2,3,2025-01-10,2025-01-18,2025-02-04,
69,TC-0069,Document DataVault Backup API rate limits,Document DataVault Backup API rate limits. See linked documents for full context.,Task,Done,Medium,22,113,16,5,,1,2024-12-29,2025-01-14,2024-12-31,
70,TC-0070,Update monitoring thresholds for CustomerIQ,Update monitoring thresholds for CustomerIQ. See linked documents for full context.,Task,Done,High,61,18,3,4,,3,2024-08-09,2024-08-10,2024-08-29,
71,TC-0071,Document CustomerIQ API rate limits,Document CustomerIQ API rate limits. See linked documents for full context.,Task,In Progress,Low,3,1,21,3,2025-S5,1,2024-09-28,2024-10-14,,
72,TC-0072,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,In Progress,Low,14,140,23,3,2025-S5,3,2025-05-09,2025-05-21,,
73,TC-0073,Document Sentinel Security Suite API rate limits,Document Sentinel Security Suite API rate limits. See linked documents for full context.,Task,Done,High,91,34,3,,,1,2024-07-06,2024-07-08,2024-07-19,
74,TC-0074,Update monitoring thresholds for Sentinel Security Suite,Update monitoring thresholds for Sentinel Security Suite. See linked documents for full context.,Task,Done,Low,101,2,13,,2025-S4,8,2024-07-03,2024-07-06,2024-08-01,
75,TC-0075,Refactor auth middleware for TechCorp AI Core,Refactor auth middleware for TechCorp AI Core. See linked documents for full context.,Bug,To Do,High,138,134,17,,2025-S1,,2024-07-08,2024-07-16,,
76,TC-0076,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,Done,Low,141,131,19,,2025-S2,1,2025-01-17,2025-01-26,2025-01-23,
77,TC-0077,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Task,To Do,High,49,56,19,,,3,2025-04-17,2025-04-18,,
78,TC-0078,Write runbook for Sentinel Security Suite failover,Write runbook for Sentinel Security Suite failover. See linked documents for full context.,Bug,To Do,High,50,97,4,,2025-S3,,2024-08-17,2024-08-31,,
79,TC-0079,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Task,To Do,Medium,26,107,12,,2025-S5,1,2024-09-01,2024-09-03,,
80,TC-0080,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,In Progress,Medium,116,56,9,3,2025-S3,1,2025-01-16,2025-01-20,,
81,TC-0081,Document TechCorp AI Core API rate limits,Document TechCorp AI Core API rate limits. See linked documents for full context.,Task,In Progress,Low,90,90,3,5,2025-S3,3,2024-10-08,2024-10-20,,
82,TC-0082,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Task,To Do,Low,122,11,1,,,5,2024-09-14,2024-09-19,,
83,TC-0083,Add health check endpoint for InsightFlow Analytics worker,Add health check endpoint for InsightFlow Analytics worker. See linked documents for full context.,Story,Done,Medium,76,19,5,,2025-S3,3,2025-05-26,2025-06-03,2025-06-03,
84,TC-0084,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Task,Done,Medium,98,28,24,,2025-S4,5,2024-11-05,2024-11-15,2024-11-20,
85,TC-0085,Add health check endpoint for Sentinel Security Suite worker,Add health check endpoint for Sentinel Security Suite worker. See linked documents for full context.,Bug,Done,Medium,48,97,11,4,2025-S4,,2024-07-07,2024-07-25,2024-08-02,
86,TC-0086,Improve error messages in InsightFlow Analytics configuration,Improve error messages in InsightFlow Analytics configuration. See linked documents for full context.,Task,Done,High,15,142,13,,,8,2024-09-12,2024-09-12,2024-10-06,
87,TC-0087,Document DataVault Backup API rate limits,Document DataVault Backup API rate limits. See linked documents for full context.,Bug,Done,Medium,125,42,15,,,,2024-07-08,2024-07-12,2024-07-29,
88,TC-0088,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,In Progress,Medium,124,55,9,,2025-S5,,2025-05-21,2025-06-03,,
89,TC-0089,Write runbook for DataVault Backup failover,Write runbook for DataVault Backup failover. See linked documents for full context.,Task,To Do,High,121,34,12,,2025-S5,5,2024-07-26,2024-08-05,,
90,TC-0090,Write runbook for TechCorp AI Core failover,Write runbook for TechCorp AI Core failover. See linked documents for full context.,Task,To Do,Low,38,31,14,3,2025-S6,5,2024-10-09,2024-10-23,,
91,TC-0091,Improve error messages in CustomerIQ configuration,Improve error messages in CustomerIQ configuration. See linked documents for full context.,Bug,Done,High,4,73,25,2,,,2025-05-05,2025-05-16,2025-05-15,
92,TC-0092,Improve error messages in TeamSync Collaboration configuration,Improve error messages in TeamSync Collaboration configuration. See linked documents for full context.,Task,To Do,Medium,71,13,7,1,2025-S1,1,2024-11-15,2024-11-25,,
93,TC-0093,Refactor auth middleware for TechCorp AI Core,Refactor auth middleware for TechCorp AI Core. See linked documents for full context.,Bug,Done,High,81,25,21,,2025-S4,,2024-09-18,2024-10-08,2024-09-24,43
94,TC-0094,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Task,In Progress,High,136,28,14,1,2025-S6,8,2024-11-09,2024-11-12,,
95,TC-0095,Improve error messages in TechCorp AI Core configuration,Improve error messages in TechCorp AI Core configuration. See linked documents for full context.,Story,Done,Low,28,69,18,,,3,2025-04-30,2025-05-19,2025-05-13,
96,TC-0096,Improve error messages in Sentinel Security Suite configuration,Improve error messages in Sentinel Security Suite configuration. See linked documents for full context.,Task,In Progress,Low,52,131,20,,,8,2024-11-05,2024-11-23,,
97,TC-0097,Improve error messages in CustomerIQ configuration,Improve error messages in CustomerIQ configuration. See linked documents for full context.,Bug,Done,Low,16,33,3,5,2025-S2,,2025-01-22,2025-01-26,2025-02-10,
98,TC-0098,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Bug,Done,Low,22,74,6,3,2025-S4,,2025-01-31,2025-01-31,2025-02-16,53
99,TC-0099,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Task,To Do,High,107,74,13,,2025-S2,2,2024-11-27,2024-12-06,,
100,TC-0100,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Bug,In Progress,Medium,41,22,2,,,,2024-11-05,2024-11-08,,
101,TC-0101,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Story,To Do,Medium,128,119,9,2,2025-S2,3,2025-06-06,2025-06-07,,
102,TC-0102,Write runbook for InsightFlow Analytics failover,Write runbook for InsightFlow Analytics failover. See linked documents for full context.,Story,To Do,Low,67,133,15,,2025-S6,8,2025-04-28,2025-05-18,,
103,TC-0103,Refactor auth middleware for TechCorp AI Core,Refactor auth middleware for TechCorp AI Core. See linked documents for full context.,Bug,In Progress,Low,127,29,14,3,2025-S5,,2025-05-28,2025-06-06,,
104,TC-0104,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,To Do,Low,148,119,17,2,,2,2024-11-29,2024-12-03,,
105,TC-0105,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,In Progress,Medium,74,19,23,,,,2024-09-05,2024-09-25,,
106,TC-0106,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Task,To Do,Medium,118,40,25,,2025-S4,1,2024-07-07,2024-07-21,,
107,TC-0107,Write runbook for CustomerIQ failover,Write runbook for CustomerIQ failover. See linked documents for full context.,Story,Done,Medium,124,83,21,3,2025-S2,3,2024-12-06,2024-12-23,2024-12-25,
108,TC-0108,Improve error messages in CustomerIQ configuration,Improve error messages in CustomerIQ configuration. See linked documents for full context.,Task,Done,Medium,137,107,5,2,,5,2025-06-03,2025-06-17,2025-06-04,
109,TC-0109,Add health check endpoint for InsightFlow Analytics worker,Add health check endpoint for InsightFlow Analytics worker. See linked documents for full context.,Bug,Done,Medium,21,134,14,,2025-S1,,2025-02-07,2025-02-27,2025-02-13,41
110,TC-0110,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,Done,High,103,12,10,,2025-S1,,2024-07-02,2024-07-18,2024-07-24,
111,TC-0111,Write runbook for DataVault Backup failover,Write runbook for DataVault Backup failover. See linked documents for full context.,Story,Done,High,133,63,1,,2025-S4,1,2024-07-07,2024-07-10,2024-07-18,
112,TC-0112,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,In Progress,High,122,127,12,,,,2025-04-20,2025-04-20,,
113,TC-0113,Refactor auth middleware for TeamSync Collaboration,Refactor auth middleware for TeamSync Collaboration. See linked documents for full context.,Story,To Do,Medium,100,118,6,,,1,2025-04-11,2025-04-14,,
114,TC-0114,Improve error messages in TechCorp AI Core configuration,Improve error messages in TechCorp AI Core configuration. See linked documents for full context.,Task,To Do,High,148,63,5,5,2025-S6,8,2025-01-17,2025-02-05,,
115,TC-0115,Add health check endpoint for DataVault Backup worker,Add health check endpoint for DataVault Backup worker. See linked documents for full context.,Task,In Progress,Medium,29,81,10,,,2,2024-08-21,2024-09-05,,
116,TC-0116,Document TechCorp AI Core API rate limits,Document TechCorp AI Core API rate limits. See linked documents for full context.,Bug,In Progress,Medium,101,95,13,,,,2025-05-22,2025-05-26,,
117,TC-0117,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Story,To Do,High,107,25,19,,,1,2024-10-29,2024-11-06,,
118,TC-0118,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Task,To Do,Medium,78,41,7,,,1,2024-08-10,2024-08-30,,
119,TC-0119,Add health check endpoint for TeamSync Collaboration worker,Add health check endpoint for TeamSync Collaboration worker. See linked documents for full context.,Bug,In Progress,Low,11,44,18,5,2025-S2,,2025-05-18,2025-06-07,,
120,TC-0120,Add health check endpoint for CustomerIQ worker,Add health check endpoint for CustomerIQ worker. See linked documents for full context.,Task,Done,High,109,65,21,,2025-S4,8,2025-02-25,2025-02-26,2025-03-07,
121,TC-0121,Write runbook for DataVault Backup failover,Write runbook for DataVault Backup failover. See linked documents for full context.,Bug,To Do,Low,2,110,22,,2025-S3,,2025-04-18,2025-04-26,,9
122,TC-0122,Update monitoring thresholds for InsightFlow Analytics,Update monitoring thresholds for InsightFlow Analytics. See linked documents for full context.,Task,Done,Low,49,126,24,,2025-S6,5,2024-11-20,2024-12-04,2024-12-07,
123,TC-0123,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Task,Done,Low,22,54,12,,2025-S5,2,2025-04-08,2025-04-24,2025-04-09,
124,TC-0124,Update monitoring thresholds for TechCorp AI Core,Update monitoring thresholds for TechCorp AI Core. See linked documents for full context.,Bug,To Do,Low,71,53,2,,2025-S1,,2024-12-13,2025-01-02,,
125,TC-0125,Improve error messages in InsightFlow Analytics configuration,Improve error messages in InsightFlow Analytics configuration. See linked documents for full context.,Task,In Progress,High,39,128,11,5,2025-S6,1,2025-05-19,2025-05-31,,
126,TC-0126,Add health check endpoint for TeamSync Collaboration worker,Add health check endpoint for TeamSync Collaboration worker. See linked documents for full context.,Story,In Progress,Low,48,12,3,,2025-S3,8,2024-09-17,2024-09-24,,
127,TC-0127,Refactor auth middleware for Sentinel Security Suite,Refactor auth middleware for Sentinel Security Suite. See linked documents for full context.,Task,To Do,Medium,113,138,15,5,2025-S1,3,2024-09-21,2024-10-11,,
128,TC-0128,Update monitoring thresholds for TechCorp AI Core,Update monitoring thresholds for TechCorp AI Core. See linked documents for full context.,Story,To Do,High,120,104,23,2,,5,2024-12-17,2025-01-01,,
129,TC-0129,Write runbook for TechCorp AI Core failover,Write runbook for TechCorp AI Core failover. See linked documents for full context.,Story,To Do,Medium,6,140,2,,2025-S6,1,2025-03-01,2025-03-19,,
130,TC-0130,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,Done,High,10,94,4,3,,,2024-09-10,2024-09-20,2024-10-10,
131,TC-0131,Improve error messages in DataVault Backup configuration,Improve error messages in DataVault Backup configuration. See linked documents for full context.,Story,Done,High,68,39,23,2,2025-S5,5,2025-02-28,2025-03-14,2025-03-11,
132,TC-0132,Refactor auth middleware for TechCorp AI Core,Refactor auth middleware for TechCorp AI Core. See linked documents for full context.,Story,Done,Low,68,44,14,5,2025-S2,1,2024-11-02,2024-11-08,2024-11-29,
133,TC-0133,Refactor auth middleware for TechCorp AI Core,Refactor auth middleware for TechCorp AI Core. See linked documents for full context.,Task,In Progress,Medium,148,52,11,,,2,2024-12-07,2024-12-07,,
134,TC-0134,Write runbook for TeamSync Collaboration failover,Write runbook for TeamSync Collaboration failover. See linked documents for full context.,Bug,Done,High,70,14,13,4,2025-S2,,2025-04-17,2025-04-28,2025-05-09,
135,TC-0135,Write runbook for TechCorp AI Core failover,Write runbook for TechCorp AI Core failover. See linked documents for full context.,Story,To Do,High,3,9,21,,2025-S2,3,2025-03-18,2025-03-21,,
136,TC-0136,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,To Do,Medium,141,92,2,,2025-S1,2,2024-11-18,2024-11-29,,
137,TC-0137,Add health check endpoint for TechCorp AI Core worker,Add health check endpoint for TechCorp AI Core worker. See linked documents for full context.,Story,Done,High,68,136,7,,,5,2025-04-12,2025-04-25,2025-05-11,
138,TC-0138,Write runbook for TeamSync Collaboration failover,Write runbook for TeamSync Collaboration failover. See linked documents for full context.,Task,In Progress,Low,40,56,18,5,,1,2025-04-18,2025-04-30,,
139,TC-0139,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Task,To Do,Medium,123,74,23,3,2025-S4,8,2025-01-02,2025-01-09,,
140,TC-0140,Document InsightFlow Analytics API rate limits,Document InsightFlow Analytics API rate limits. See linked documents for full context.,Task,To Do,High,82,52,1,2,,3,2024-09-01,2024-09-18,,
141,TC-0141,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Bug,In Progress,High,131,125,24,5,,,2024-12-11,2024-12-21,,
142,TC-0142,Improve error messages in Sentinel Security Suite configuration,Improve error messages in Sentinel Security Suite configuration. See linked documents for full context.,Task,Done,Medium,145,91,23,,,2,2024-09-12,2024-09-27,2024-09-14,
143,TC-0143,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Bug,In Progress,High,31,3,3,,2025-S5,,2024-10-01,2024-10-11,,
144,TC-0144,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,To Do,Medium,94,110,11,,,3,2025-04-16,2025-04-28,,
145,TC-0145,Add health check endpoint for TechCorp AI Core worker,Add health check endpoint for TechCorp AI Core worker. See linked documents for full context.,Story,To Do,Medium,48,18,19,,2025-S6,2,2025-04-08,2025-04-25,,
146,TC-0146,Refactor auth middleware for CustomerIQ,Refactor auth middleware for CustomerIQ. See linked documents for full context.,Story,In Progress,Medium,105,94,23,1,,8,2025-03-30,2025-04-11,,
147,TC-0147,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,Done,High,97,46,25,1,2025-S4,2,2024-08-18,2024-08-29,2024-08-29,
148,TC-0148,Improve error messages in CustomerIQ configuration,Improve error messages in CustomerIQ configuration. See linked documents for full context.,Task,Done,Medium,68,2,6,1,,1,2025-02-12,2025-02-13,2025-02-25,
149,TC-0149,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,To Do,High,136,61,15,,2025-S4,8,2024-10-18,2024-11-07,,
150,TC-0150,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Bug,Done,High,68,10,25,4,2025-S1,,2025-06-10,2025-06-15,2025-07-04,58
