ticket_id,customer_id,product_id,assigned_to,priority,status,subject,created_date,resolved_date
39,39,7,43,Medium,Closed,Custom field not saving correctly,2025-01-21,2025-02-04
40,47,8,38,Medium,Closed,Scheduled task not executing,2025-05-14,2025-05-25
41,49,12,49,High,Closed,Permission inheritance not propagating to subfolders,2024-03-25,2024-03-29
42,13,6,38,Low,Open,Scheduled task not executing,2023-08-03,
43,50,7,49,Low,Resolved,Dashboard drill-down returning 500 error,2024-01-30,2024-02-02
44,9,5,41,Low,In Progress,Unable to add new team members,2025-05-05,
45,46,9,38,High,Closed,Rate limit headers inconsistent across endpoints,2025-02-20,2025-03-05
46,10,7,38,High,Open,API response latency above SLA threshold,2025-03-26,
47,2,7,26,High,Closed,Cannot reset password for admin account,2025-05-04,2025-05-10
48,15,1,44,Low,Open,Bulk user import failed with validation errors,2024-08-05,
49,10,3,50,Medium,Closed,Email notification not triggering,2025-05-19,2025-06-02
50,49,12,3,Low,Closed,Dashboard widget configuration reset,2024-03-04,2024-03-05
51,14,3,37,Medium,Open,Missing data in weekly analytics report,2023-12-14,
52,50,5,44,High,Closed,Invoice PDF generation returning blank pages,2024-10-27,2024-10-28
53,5,2,42,Medium,Resolved,Role-based access not applying correctly,2024-02-02,2024-02-03
54,46,3,42,Medium,Closed,Data export exceeds 100k row limit,2024-09-02,2024-09-12
55,12,11,40,Critical,Closed,Incorrect currency conversion in multi-region reports,2023-08-13,2023-08-19
56,33,9,44,Medium,Closed,Audit log missing entries for last week,2023-12-08,2023-12-22
57,24,5,47,High,Closed,Unable to add new team members,2025-06-11,2025-06-13
58,50,10,50,Medium,Closed,Search returning incomplete results,2024-07-22,2024-07-28
59,50,11,29,Medium,Open,Email notification not triggering,2024-03-09,
60,5,12,30,Critical,Closed,Login failure after SSO integration,2024-03-16,2024-03-20
61,21,5,32,Medium,Closed,Login failure after SSO integration,2024-01-17,2024-01-31
62,49,11,51,Low,Closed,Bulk user import failed with validation errors,2024-12-14,2024-12-28
63,18,2,52,Medium,Closed,Audit log missing entries for last week,2024-06-16,2024-06-23
64,22,3,49,Medium,In Progress,Custom domain SSL certificate verification failing,2024-02-05,
65,18,2,29,Low,Closed,Incorrect currency conversion in multi-region reports,2024-04-19,2024-04-29
66,19,6,38,High,Closed,Dashboard drill-down returning 500 error,2025-03-14,2025-03-25
67,46,7,4,Medium,In Progress,API response latency above SLA threshold,2025-01-08,
68,40,7,4,Low,In Progress,Incorrect billing amount on invoice,2024-09-19,
69,43,11,29,Medium,Closed,API rate limit exceeded during peak hours,2024-05-08,2024-05-21
70,10,10,26,Critical,In Progress,Role-based access not applying correctly,2023-08-03,
71,50,11,28,Critical,Closed,WebSocket connection dropping intermittently,2024-06-17,2024-06-27
72,24,6,40,Medium,In Progress,Cannot reset password for admin account,2024-03-30,
73,26,6,29,Critical,Closed,Daily digest email not sending to new recipients,2023-09-01,2023-09-03
74,34,7,38,High,Closed,Report generation timed out,2023-11-30,2023-12-13
75,40,5,27,Medium,Open,Email notification not triggering,2023-07-18,
76,5,8,26,Medium,Open,SSO certificate about to expire,2025-01-02,
77,43,6,33,High,Closed,Custom field not saving correctly,2023-07-02,2023-07-11
78,46,12,40,Low,In Progress,Webhook delivery failures,2023-07-11,
79,8,4,41,Critical,Closed,CSV import silently dropping non-ASCII characters,2025-02-05,2025-02-13
80,24,8,36,Critical,Closed,Permission inheritance not propagating to subfolders,2023-12-11,2023-12-13
81,34,7,34,Critical,In Progress,Incorrect billing amount on invoice,2024-05-04,
82,29,8,48,Low,Resolved,Session timeout values not respecting admin settings,2023-08-01,2023-08-04
83,41,10,40,High,In Progress,Data sync delay between modules,2024-12-23,
84,8,9,46,High,Closed,Webhook delivery failures,2025-01-22,2025-01-25
85,23,9,44,High,In Progress,Session timeout values not respecting admin settings,2024-09-10,
86,18,3,44,Critical,Closed,Custom field not saving correctly,2023-09-26,2023-10-05
87,38,10,43,Medium,Closed,Bulk user import failed with validation errors,2025-01-21,2025-01-31
88,37,1,32,Low,Closed,Report generation timed out,2025-05-29,2025-06-09
89,50,10,52,Critical,In Progress,Incorrect currency conversion in multi-region reports,2024-04-27,
90,19,11,36,Low,Resolved,Mobile app crashing on data refresh,2024-08-22,2024-09-04
91,30,2,38,Medium,Closed,Report generation timed out,2023-07-23,2023-07-31
92,22,10,51,High,Closed,API response latency above SLA threshold,2025-01-31,2025-02-12
93,26,3,38,High,Resolved,Missing data in weekly analytics report,2024-06-13,2024-06-15
94,18,8,36,High,Closed,Data export exceeds 100k row limit,2024-10-17,2024-10-18
95,16,3,30,Medium,Open,Custom field not saving correctly,2024-07-27,
96,32,9,26,Medium,Resolved,Multi-factor authentication bypass detected,2024-03-06,2024-03-11
97,33,8,33,Critical,Closed,Daily digest email not sending to new recipients,2024-10-24,2024-10-30
98,39,11,27,Critical,Resolved,Sandbox environment not reflecting production schema,2023-08-09,2023-08-18
99,9,5,36,Medium,In Progress,Data sync delay between modules,2024-06-18,
100,37,9,40,Critical,Closed,WebSocket connection dropping intermittently,2024-12-10,2024-12-15
101,49,9,43,Medium,In Progress,Missing data in weekly analytics report,2024-09-14,
102,9,2,35,Medium,Closed,Integration failing with third-party CRM,2024-05-20,2024-05-26
103,13,10,28,Critical,Closed,Bulk user import failed with validation errors,2024-01-23,2024-01-24
104,31,9,43,High,Closed,SSO certificate about to expire,2024-03-17,2024-03-26
105,11,7,34,High,In Progress,Rate limit headers inconsistent across endpoints,2023-10-05,
106,33,9,50,High,In Progress,API rate limit exceeded during peak hours,2024-02-12,
107,24,6,49,Medium,Closed,API rate limit exceeded during peak hours,2023-08-08,2023-08-15
108,39,8,48,Low,Open,Slack integration not posting incident alerts,2024-09-29,
109,37,4,47,Medium,Resolved,Audit log missing entries for last week,2025-05-06,2025-05-09
110,10,11,3,High,Closed,WebSocket connection dropping intermittently,2024-10-22,2024-11-03
111,21,7,48,Medium,Closed,Permission inheritance not propagating to subfolders,2025-01-23,2025-01-27
112,48,12,41,Medium,In Progress,SSO certificate about to expire,2025-04-25,
113,43,8,41,Medium,Closed,Bulk user import failed with validation errors,2024-01-06,2024-01-09
114,35,6,44,Medium,In Progress,Dashboard widget configuration reset,2023-08-05,
115,40,8,33,High,Open,Webhook delivery failures,2024-12-13,
116,20,5,39,Medium,Closed,API response latency above SLA threshold,2023-07-07,2023-07-19
117,36,12,36,Medium,Closed,Multi-factor authentication bypass detected,2024-09-20,2024-09-30
118,23,3,38,Critical,Closed,Dashboard widget configuration reset,2024-09-03,2024-09-15
119,48,8,41,High,Closed,File upload size limit error,2024-11-20,2024-11-29
120,9,2,4,High,In Progress,Custom domain SSL certificate verification failing,2023-10-06,
121,15,11,39,High,Closed,Unable to add new team members,2024-11-01,2024-11-08
122,44,3,29,Low,Open,Data export exceeds 100k row limit,2025-06-22,
123,42,8,33,Low,In Progress,SSO certificate about to expire,2024-02-25,
124,19,11,42,Critical,Open,Webhook delivery failures,2025-04-28,
125,35,12,52,High,Open,Search returning incomplete results,2025-05-20,
126,3,7,33,Low,Closed,Login failure after SSO integration,2024-02-06,2024-02-18
127,1,5,34,Low,In Progress,Scheduled task not executing,2023-11-24,
128,30,11,38,Low,Resolved,File upload size limit error,2023-12-19,2023-12-22
129,13,2,46,Medium,Closed,Search returning incomplete results,2024-07-24,2024-08-01
130,1,12,48,Medium,In Progress,Two-factor authentication not working,2024-07-17,
131,12,10,40,Low,Open,SSO certificate about to expire,2023-09-12,
132,6,7,31,Medium,Closed,Unable to export dashboard to PDF,2023-08-12,2023-08-15
133,17,7,33,Low,Closed,Slack integration not posting incident alerts,2024-10-29,2024-11-03
134,47,10,4,Medium,Closed,Missing data in weekly analytics report,2025-06-16,2025-06-22
135,30,5,52,Low,Closed,Mobile app crashing on data refresh,2025-01-15,2025-01-24
136,45,2,43,High,Open,Webhook delivery failures,2023-09-12,
137,15,3,35,Low,Closed,Data export exceeds 100k row limit,2024-02-24,2024-03-07
138,45,9,50,Low,In Progress,Report generation timed out,2024-03-02,
139,49,4,26,Low,In Progress,Custom domain SSL certificate verification failing,2023-08-01,
140,29,9,50,High,Closed,Session timeout values not respecting admin settings,2023-07-08,2023-07-18
141,33,4,40,High,Resolved,WebSocket connection dropping intermittently,2023-11-19,2023-11-22
142,8,11,52,Medium,In Progress,Rate limit headers inconsistent across endpoints,2024-11-29,
143,29,1,4,Medium,Closed,Session timeout values not respecting admin settings,2024-03-20,2024-03-27
144,30,11,50,Medium,In Progress,Unable to export dashboard to PDF,2024-08-16,
145,48,4,26,High,Closed,Incorrect currency conversion in multi-region reports,2023-11-13,2023-11-20
146,4,2,28,High,Closed,Data export exceeds 100k row limit,2024-03-01,2024-03-08
147,24,7,36,Low,Open,Performance degradation in query builder,2024-03-25,
148,44,11,29,High,Closed,Incorrect currency conversion in multi-region reports,2023-12-23,2024-01-06
149,26,9,3,High,In Progress,API rate limit exceeded during peak hours,2025-02-17,
150,20,8,36,Medium,In Progress,Webhook delivery failures,2023-08-08,
151,16,8,47,Low,Closed,Missing data in weekly analytics report,2024-07-08,2024-07-12
152,3,11,52,Low,In Progress,API rate limit exceeded during peak hours,2024-04-24,
153,16,4,45,Medium,Closed,Data sync delay between modules,2025-04-20,2025-04-21
154,16,12,48,Medium,Closed,Data sync delay between modules,2025-05-13,2025-05-17
155,9,9,42,Medium,Closed,Dashboard drill-down returning 500 error,2024-09-04,2024-09-16
156,50,11,40,Low,Closed,Webhook delivery failures,2024-08-03,2024-08-06
157,27,5,29,Low,Closed,Sandbox environment not reflecting production schema,2024-09-19,2024-09-29
158,36,8,45,Low,Open,Audit log missing entries for last week,2025-05-10,
159,34,6,29,High,Closed,Incorrect currency conversion in multi-region reports,2023-07-15,2023-07-18
160,31,4,38,High,Closed,Data sync delay between modules,2024-11-09,2024-11-21
161,36,7,32,Medium,Resolved,Report generation timed out,2024-04-27,2024-04-30
162,22,11,26,Low,Open,Incorrect currency conversion in multi-region reports,2025-04-08,
163,47,4,4,Medium,Closed,Incorrect billing amount on invoice,2025-05-06,2025-05-17
164,13,10,34,High,Resolved,Mobile app crashing on data refresh,2023-08-10,2023-08-18
165,1,4,48,High,Open,Permission inheritance not propagating to subfolders,2024-12-15,
166,16,12,31,Medium,In Progress,Session timeout values not respecting admin settings,2023-10-18,
167,21,5,32,Medium,Resolved,Cannot reset password for admin account,2024-06-03,2024-06-14
168,33,8,50,Medium,Closed,SSO certificate about to expire,2024-03-07,2024-03-19
169,14,6,47,Low,Closed,Integration failing with third-party CRM,2024-08-11,2024-08-21
170,2,5,37,Medium,Open,Scheduled task not executing,2023-12-09,
171,10,4,39,Low,Closed,Session timeout values not respecting admin settings,2024-07-25,2024-08-04
172,42,11,47,Medium,Closed,Daily digest email not sending to new recipients,2024-07-17,2024-07-31
173,30,3,29,Medium,Closed,Incorrect currency conversion in multi-region reports,2024-07-02,2024-07-14
174,42,1,50,Critical,Closed,Data sync delay between modules,2024-01-08,2024-01-22
175,49,1,46,High,Closed,Integration failing with third-party CRM,2024-05-01,2024-05-12
176,1,4,45,Medium,Resolved,Permission inheritance not propagating to subfolders,2024-01-27,2024-01-28
177,43,8,3,Medium,Closed,Custom domain SSL certificate verification failing,2025-06-11,2025-06-20
178,47,5,50,Critical,Open,Sandbox environment not reflecting production schema,2023-12-27,
179,12,2,40,High,Resolved,Dashboard widget configuration reset,2025-03-21,2025-03-25
180,23,5,31,Medium,Closed,Webhook delivery failures,2024-05-17,2024-05-24
181,20,11,48,Low,In Progress,Login failure after SSO integration,2025-04-06,
182,6,7,3,Critical,Closed,Custom field not saving correctly,2024-06-04,2024-06-12
183,6,8,51,High,In Progress,Unable to add new team members,2024-04-09,
184,34,1,42,Medium,Closed,Permission inheritance not propagating to subfolders,2024-11-04,2024-11-18
185,18,1,41,High,In Progress,CSV import silently dropping non-ASCII characters,2025-04-12,
186,43,1,30,High,Open,Slack integration not posting incident alerts,2024-12-26,
187,10,12,42,High,Open,Role-based access not applying correctly,2024-05-16,
188,37,7,48,High,Open,Email notification not triggering,2023-08-04,
189,45,12,37,Critical,Resolved,Webhook delivery failures,2025-04-08,2025-04-14
190,5,6,36,Low,In Progress,SSO certificate about to expire,2023-10-17,
191,2,11,31,Medium,In Progress,API response latency above SLA threshold,2024-09-21,
192,36,7,26,Medium,Closed,Scheduled task not executing,2024-04-11,2024-04-21
193,16,12,49,Medium,Closed,Integration failing with third-party CRM,2025-04-13,2025-04-16
194,48,7,33,Critical,Closed,WebSocket connection dropping intermittently,2024-08-07,2024-08-09
195,24,5,41,Medium,Closed,Session timeout values not respecting admin settings,2025-03-15,2025-03-18
196,33,7,43,Medium,Closed,Dashboard drill-down returning 500 error,2025-03-14,2025-03-20
197,21,7,47,Low,Closed,Session timeout values not respecting admin settings,2025-06-15,2025-06-22
198,16,10,32,High,Closed,Mobile app crashing on data refresh,2024-01-11,2024-01-18
199,18,8,33,High,Closed,Permission inheritance not propagating to subfolders,2025-01-29,2025-02-05
200,5,6,39,Medium,Open,Dashboard drill-down returning 500 error,2024-10-13,
201,40,4,36,Critical,Closed,Bulk user import failed with validation errors,2024-03-16,2024-03-21
202,40,7,51,Low,Closed,Dashboard drill-down returning 500 error,2024-07-25,2024-08-01
203,9,5,39,Medium,In Progress,SSO certificate about to expire,2024-08-03,
204,12,7,42,Medium,Closed,Role-based access not applying correctly,2024-08-05,2024-08-17
205,21,7,27,Medium,In Progress,CSV import silently dropping non-ASCII characters,2024-09-13,
206,13,10,47,Medium,Closed,Invoice PDF generation returning blank pages,2023-12-17,2023-12-30
207,46,4,26,Low,In Progress,Data export exceeds 100k row limit,2024-04-05,
208,44,8,45,High,In Progress,Integration failing with third-party CRM,2025-02-05,
209,46,7,36,Medium,Closed,Incorrect currency conversion in multi-region reports,2024-06-06,2024-06-16
210,33,12,46,Low,Resolved,Incorrect currency conversion in multi-region reports,2024-04-25,2024-05-08
211,39,11,35,Medium,Closed,Custom field not saving correctly,2025-04-01,2025-04-05
212,42,10,36,Medium,Resolved,Bulk user import failed with validation errors,2025-05-13,2025-05-24
213,28,2,40,Medium,Closed,Session timeout values not respecting admin settings,2025-06-17,2025-06-21
214,38,12,48,Medium,Closed,Slack integration not posting incident alerts,2023-11-16,2023-11-22
215,45,9,33,Medium,Closed,Data export exceeds 100k row limit,2025-01-24,2025-01-25
216,6,2,30,Medium,Closed,Custom domain SSL certificate verification failing,2025-02-02,2025-02-08
217,31,6,34,Medium,Closed,Incorrect billing amount on invoice,2024-02-26,2024-03-09
218,20,1,27,High,Closed,Custom field not saving correctly,2023-07-01,2023-07-15
219,48,4,37,High,Closed,Invoice PDF generation returning blank pages,2024-01-16,2024-01-19
220,15,7,36,Medium,Closed,API rate limit exceeded during peak hours,2023-09-22,2023-10-03
221,48,10,46,Medium,Closed,Report generation timed out,2024-12-07,2024-12-14
222,14,5,27,Critical,In Progress,Incorrect currency conversion in multi-region reports,2023-07-08,
223,12,6,51,High,Closed,Daily digest email not sending to new recipients,2024-07-29,2024-07-31
224,34,11,27,Medium,Resolved,API response latency above SLA threshold,2024-08-11,2024-08-21
225,23,8,33,Medium,Closed,Slack integration not posting incident alerts,2023-10-04,2023-10-15
226,6,11,29,High,Closed,Cannot reset password for admin account,2025-02-10,2025-02-14
227,45,3,36,High,Closed,Sandbox environment not reflecting production schema,2024-01-21,2024-01-31
228,12,8,29,Low,Resolved,Session timeout values not respecting admin settings,2023-09-16,2023-09-27
229,11,8,43,Low,Closed,Data sync delay between modules,2024-09-05,2024-09-11
230,23,1,41,Medium,Closed,Rate limit headers inconsistent across endpoints,2024-02-17,2024-03-02
231,42,8,50,Medium,In Progress,WebSocket connection dropping intermittently,2024-05-05,
232,32,3,33,Low,Resolved,Login failure after SSO integration,2025-04-04,2025-04-17
233,18,4,47,Medium,Closed,Daily digest email not sending to new recipients,2023-12-25,2024-01-07
234,36,9,50,Low,Resolved,Cannot reset password for admin account,2025-03-04,2025-03-09
235,35,1,50,High,Resolved,Role-based access not applying correctly,2024-04-02,2024-04-09
236,20,1,38,Low,Closed,Missing data in weekly analytics report,2024-03-24,2024-04-07
237,50,4,35,Medium,In Progress,Sandbox environment not reflecting production schema,2024-11-25,
238,11,10,49,Low,In Progress,Data sync delay between modules,2025-02-05,
239,37,6,46,High,Closed,Scheduled task not executing,2023-12-30,2024-01-08
240,19,10,52,Medium,Open,Unable to add new team members,2024-09-27,
241,9,7,28,Low,Open,Email notification not triggering,2025-04-28,
242,16,3,45,Low,Closed,Multi-factor authentication bypass detected,2023-06-30,2023-07-04
243,32,3,36,Medium,In Progress,WebSocket connection dropping intermittently,2023-11-14,
244,5,11,52,High,Closed,Cannot reset password for admin account,2025-03-24,2025-04-05
245,30,8,47,Low,Resolved,Performance degradation in query builder,2024-07-27,2024-08-10
246,47,8,26,Medium,In Progress,Incorrect currency conversion in multi-region reports,2023-09-16,
247,26,4,34,Medium,In Progress,Scheduled task not executing,2024-04-14,
248,22,9,34,Medium,Closed,Data sync delay between modules,2023-11-14,2023-11-28
249,3,2,27,Medium,In Progress,Custom field not saving correctly,2023-09-25,
250,29,8,46,Medium,Open,Email notification not triggering,2025-06-27,
251,42,5,26,Low,Open,Cannot reset password for admin account,2025-01-16,
252,17,2,4,Medium,In Progress,Multi-factor authentication bypass detected,2024-06-12,
253,41,5,26,Medium,In Progress,Unable to add new team members,2023-07-12,
254,1,4,45,High,Closed,WebSocket connection dropping intermittently,2024-02-25,2024-03-06
255,1,1,37,Low,Closed,Email notification not triggering,2023-07-16,2023-07-18
256,31,2,27,Low,Closed,SSO certificate about to expire,2024-11-05,2024-11-17
257,24,5,28,Low,Closed,Integration failing with third-party CRM,2025-02-07,2025-02-21
258,5,9,35,High,Closed,Report generation timed out,2023-11-29,2023-12-10
259,41,12,38,Medium,Open,Report generation timed out,2025-01-23,
260,6,2,36,Medium,In Progress,API response latency above SLA threshold,2025-02-04,
261,28,6,41,Critical,Closed,Dashboard drill-down returning 500 error,2025-02-04,2025-02-15
262,39,12,51,Critical,Closed,Mobile app crashing on data refresh,2023-10-14,2023-10-26
263,14,9,44,Medium,Resolved,Data sync delay between modules,2023-10-15,2023-10-27
264,16,8,26,Medium,Closed,Custom domain SSL certificate verification failing,2024-05-28,2024-06-05
265,1,6,37,Low,Closed,Cannot reset password for admin account,2024-08-07,2024-08-21
266,35,11,48,Low,In Progress,Incorrect billing amount on invoice,2025-01-02,
267,2,10,4,Critical,Closed,Multi-factor authentication bypass detected,2025-04-19,2025-04-23
268,33,5,37,Low,In Progress,Multi-factor authentication bypass detected,2023-09-23,
269,6,11,33,High,Resolved,Performance degradation in query builder,2023-12-26,2023-12-29
270,33,4,48,Medium,Resolved,Incorrect billing amount on invoice,2025-01-19,2025-01-26
271,20,12,4,Low,In Progress,Role-based access not applying correctly,2024-04-06,
272,6,7,45,Critical,Resolved,Search returning incomplete results,2025-03-01,2025-03-11
273,8,1,35,High,Closed,Custom domain SSL certificate verification failing,2023-07-04,2023-07-05
274,34,12,51,Medium,Closed,File upload size limit error,2024-10-05,2024-10-08
275,47,2,26,High,Closed,Dashboard widget configuration reset,2025-05-28,2025-06-04
276,46,10,4,Medium,Closed,Daily digest email not sending to new recipients,2023-09-24,2023-10-02
277,37,3,42,High,Closed,Missing data in weekly analytics report,2024-06-16,2024-06-29
278,15,12,31,Low,Closed,Login failure after SSO integration,2024-01-23,2024-02-06
279,31,6,51,High,Open,Login failure after SSO integration,2024-05-31,
280,36,12,47,High,Closed,SSO certificate about to expire,2023-08-26,2023-09-01
281,18,2,4,Medium,Closed,Search returning incomplete results,2023-11-20,2023-11-29
282,15,9,38,Critical,Open,Scheduled task not executing,2025-05-11,
283,50,5,30,Critical,Closed,Scheduled task not executing,2024-07-27,2024-08-04
284,37,5,39,Medium,Closed,Two-factor authentication not working,2023-09-29,2023-10-05
285,47,9,41,Critical,Closed,API response latency above SLA threshold,2024-10-19,2024-10-26
286,41,12,45,Critical,Open,Audit log missing entries for last week,2025-06-18,
287,48,12,37,Low,Closed,Daily digest email not sending to new recipients,2024-08-17,2024-08-26
288,4,3,52,Low,Closed,Custom domain SSL certificate verification failing,2023-06-30,2023-07-01
289,27,12,27,Critical,Resolved,Rate limit headers inconsistent across endpoints,2024-06-11,2024-06-23
290,9,11,45,Critical,Closed,Email notification not triggering,2024-05-20,2024-05-30
291,16,5,36,Low,Open,SSO certificate about to expire,2024-10-03,
292,21,8,48,High,Closed,Slack integration not posting incident alerts,2024-09-22,2024-09-26
293,7,3,27,High,Closed,Incorrect currency conversion in multi-region reports,2025-03-11,2025-03-19
294,23,4,26,Low,Closed,Custom field not saving correctly,2024-03-22,2024-03-27
295,44,5,50,Critical,In Progress,SSO certificate about to expire,2023-07-07,
296,10,2,4,Medium,Closed,Mobile app crashing on data refresh,2023-06-30,2023-07-06
297,17,3,41,Low,Open,Session timeout values not respecting admin settings,2025-05-27,
298,16,2,3,High,Closed,Data sync delay between modules,2024-03-11,2024-03-24
299,50,4,44,Medium,Closed,Performance degradation in query builder,2025-02-14,2025-02-21
300,38,10,26,Critical,Open,Two-factor authentication not working,2024-10-05,
301,42,8,34,Low,Closed,Missing data in weekly analytics report,2025-02-16,2025-03-02
302,3,8,47,Medium,Closed,Multi-factor authentication bypass detected,2025-05-07,2025-05-17
303,32,1,30,High,In Progress,Search returning incomplete results,2024-06-01,
304,18,5,43,Critical,Open,Role-based access not applying correctly,2024-03-28,
305,42,5,26,Medium,Closed,File upload size limit error,2024-02-03,2024-02-12
306,25,3,44,Medium,Closed,Incorrect currency conversion in multi-region reports,2024-04-24,2024-05-07
307,2,7,42,Medium,Resolved,Rate limit headers inconsistent across endpoints,2024-06-25,2024-07-08
308,21,7,3,Medium,Closed,File upload size limit error,2024-09-24,2024-09-30
309,4,8,29,Low,Closed,Unable to add new team members,2024-01-02,2024-01-12
310,16,11,47,Low,Closed,Data sync delay between modules,2024-10-24,2024-11-07
311,49,4,35,Low,In Progress,Search returning incomplete results,2023-11-16,
312,12,4,42,Medium,Closed,API rate limit exceeded during peak hours,2023-10-30,2023-11-11
313,46,12,42,Medium,Open,Two-factor authentication not working,2024-07-02,
314,32,9,31,Critical,Closed,Dashboard drill-down returning 500 error,2024-08-15,2024-08-16
315,15,1,30,Low,Resolved,Email notification not triggering,2024-01-05,2024-01-11
316,22,12,34,Low,Open,Data sync delay between modules,2024-12-28,
317,2,3,27,High,In Progress,Custom domain SSL certificate verification failing,2023-11-05,
318,24,2,42,Medium,In Progress,Unable to add new team members,2024-06-10,
319,22,5,37,Medium,Closed,Daily digest email not sending to new recipients,2024-08-01,2024-08-04
320,42,6,52,Medium,In Progress,API response latency above SLA threshold,2024-12-31,
321,15,11,47,Medium,In Progress,Scheduled task not executing,2023-11-02,
322,9,3,36,Low,Open,CSV import silently dropping non-ASCII characters,2025-06-26,
323,3,3,31,Low,Closed,CSV import silently dropping non-ASCII characters,2023-10-20,2023-11-02
324,7,8,34,High,Closed,Custom field not saving correctly,2025-02-03,2025-02-05
325,41,2,34,Medium,In Progress,WebSocket connection dropping intermittently,2023-07-03,
326,1,5,49,Medium,Closed,Unable to add new team members,2024-11-25,2024-11-27
327,47,1,29,Medium,Closed,Data export exceeds 100k row limit,2025-05-09,2025-05-21
328,32,7,49,Low,Resolved,CSV import silently dropping non-ASCII characters,2024-07-03,2024-07-05
329,42,11,4,Low,Closed,Scheduled task not executing,2024-11-09,2024-11-11
330,2,6,29,Critical,Open,Audit log missing entries for last week,2024-10-03,
331,11,12,43,High,Resolved,Permission inheritance not propagating to subfolders,2025-04-12,2025-04-14
332,46,1,52,High,Open,Sandbox environment not reflecting production schema,2024-04-12,
333,11,1,41,Medium,Closed,Incorrect currency conversion in multi-region reports,2025-03-16,2025-03-20
334,17,11,42,Critical,Closed,Session timeout values not respecting admin settings,2024-09-12,2024-09-14
335,32,3,50,Critical,Closed,Dashboard drill-down returning 500 error,2025-05-03,2025-05-10
336,31,4,26,Medium,Closed,Permission inheritance not propagating to subfolders,2025-03-20,2025-03-23
337,8,5,44,High,Resolved,Incorrect currency conversion in multi-region reports,2024-05-16,2024-05-27
338,25,3,38,Medium,Open,Login failure after SSO integration,2024-06-13,
339,17,8,4,High,Closed,Integration failing with third-party CRM,2024-03-08,2024-03-22
340,49,12,41,High,Closed,Data export exceeds 100k row limit,2023-08-14,2023-08-25
341,49,10,40,Medium,Resolved,Data export exceeds 100k row limit,2024-11-07,2024-11-21
342,35,11,26,Medium,Resolved,Multi-factor authentication bypass detected,2024-02-27,2024-03-02
343,46,1,45,Low,Resolved,Integration failing with third-party CRM,2024-01-30,2024-02-08
344,8,8,30,High,Open,Two-factor authentication not working,2025-01-01,
