email_id,sender_id,recipient_ids,cc_ids,subject,body_preview,sent_timestamp,thread_id,related_project_id,related_customer_id,related_incident_id,priority,has_attachment
17,91,"21,42",,Urgent: Incident #49 customer impact escalating,We just got escalated from Velocity FinTech Partners. They've been down for 45 minutes. Incident #49 is being tracked — can engineering jump on a bridge call?,2024-11-21T13:27:00,,9,50,49,High,false
18,2,"11,39","25,1",Weekly engineering sync notes,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-12-14T15:37:00,3,,,,Low,false
19,4,"13,25",,CustomerIQ release planning — feedback requested,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-03-06T18:08:00,6,,,,Medium,true
20,145,30,,Re: Q3 initiative — status update needed,"Hi all, please review the attached CustomerIQ release notes. We're targeting a staged rollout starting next Tuesday.",2024-07-10T08:26:00,6,,,,Medium,false
21,67,"31,30,38",,CustomerIQ release planning — feedback requested,The DataVault Backup billing integration is throwing errors for ClearView Diagnostics. We've opened ticket #145 and engaged the platform team.,2025-05-01T08:31:00,6,,27,,Medium,true
22,70,"11,27",,Q3 roadmap review — Q3 initiative milestones,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-02-28T07:00:00,,,,,Medium,false
23,21,6,,Integration issue: TechCorp AI Core + Pacific Rim Logistics SSO config,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-06-03T08:52:00,,,6,,High,true
24,81,52,,Re: Q3 initiative — status update needed,We just got escalated from Atlas Healthcare Solutions. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-08-14T11:56:00,7,,49,,Medium,false
25,99,"33,1,80,52",,Customer escalation — customer experiencing outage,"Team, we need to align on the Cloud Cost Optimization deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-08-30T14:51:00,4,13,,,Critical,false
26,43,"21,80,16,18",25,Approval needed: Change #9 for DataVault Backup,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2025-01-06T15:33:00,,,,,Medium,false
27,17,"28,32","11,52",Post-incident review: production issue,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-10-20T12:15:00,8,,,,High,false
28,5,22,,Security advisory: patch window for TeamSync Collaboration,"Hi all, please review the attached TeamSync Collaboration release notes. We're targeting a staged rollout starting next Tuesday.",2024-12-04T13:02:00,9,8,29,,High,false
29,16,"34,35",,Re: Q3 initiative — status update needed,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-11-08T12:35:00,,,,,Medium,false
30,136,11,"25,30",Post-incident review: production issue,The Sentinel Security Suite billing integration is throwing errors for Atlas Healthcare Solutions. We've opened ticket #24 and engaged the platform team.,2025-04-05T14:08:00,,15,49,,High,false
31,119,42,,Sprint planning — Cloud Cost Optimization backlog prioritization,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-07-26T16:32:00,10,13,13,,Medium,true
32,2,"42,30","135,80",Approval needed: Change #45 for TechCorp AI Core,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-12-07T12:18:00,7,,,,Medium,false
33,30,"41,43,28",,Urgent: production issue customer impact escalating,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-01-03T17:08:00,11,,45,,High,false
34,42,"35,41,26,8",,Onboarding: customer go-live next week,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-12-15T09:03:00,12,4,,,Medium,false
35,71,"3,42,26",2,Q3 roadmap review — Sales Forecasting Pipeline milestones,Post-mortem notes for Incident #4 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-08-01T15:24:00,,10,,4,Medium,true
36,80,"28,7,4",,Compliance audit findings — action required,Following up on our architecture review. The Cloud Cost Optimization data model changes need approval before we proceed with the migration.,2024-08-08T18:45:00,,13,,,High,false
37,49,1,,Compliance audit findings — action required,The TechCorp AI Core billing integration is throwing errors for Terra Engineering GmbH. We've opened ticket #21 and engaged the platform team.,2024-11-21T11:35:00,,,12,,High,true
38,68,"21,28,27","25,52",Urgent: production issue customer impact escalating,Following up on our architecture review. The Identity Access Management Overhaul data model changes need approval before we proceed with the migration.,2025-04-08T13:34:00,3,11,,,High,false
39,101,80,,TeamSync Collaboration release planning — feedback requested,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-07-14T12:24:00,6,10,49,,Medium,false
40,110,"21,11,8,33","2,1",TeamSync Collaboration release planning — feedback requested,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-05-26T10:42:00,13,17,,,Medium,false
41,123,"33,12,41,35",135,Q3 roadmap review — Threat Detection Upgrade milestones,"Team, we need to align on the Threat Detection Upgrade deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2025-03-29T11:35:00,,23,,,Medium,true
42,57,"2,14,35",,department all-hands follow-up,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-05-22T12:59:00,,,,,Low,false
43,86,"1,26,4,52",,Security advisory: patch window for TechCorp AI Core,The InsightFlow Analytics billing integration is throwing errors for the customer. We've opened ticket #153 and engaged the platform team.,2024-07-17T18:41:00,,15,,,High,false
44,31,"3,16,34",,Re: Vendor Risk Assessment — status update needed,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-08-17T11:12:00,10,18,,,Medium,true
45,6,9,,Onboarding: customer go-live next week,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2024-09-04T14:21:00,,,,,Medium,false
46,61,"38,29,30",,Onboarding: customer go-live next week,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-06-26T12:15:00,14,,,,Medium,false
47,126,"43,9,21",,Sprint planning — Q3 initiative backlog prioritization,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-04-18T15:12:00,11,,,,Medium,true
48,12,"46,31,4,11",,Integration issue: CustomerIQ + customer SSO config,The TeamSync Collaboration billing integration is throwing errors for the customer. We've opened ticket #335 and engaged the platform team.,2025-04-13T12:25:00,,,,,High,true
49,81,"42,22",,Compliance audit findings — action required,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-10-24T12:02:00,15,12,,,High,true
50,59,"11,33,10,135",,Approval needed: Change #31 for Sentinel Security Suite,The CustomerIQ billing integration is throwing errors for the customer. We've opened ticket #380 and engaged the platform team.,2025-02-14T16:34:00,1,,,,Medium,false
51,108,"25,15",52,Weekly engineering sync notes,All-hands reminder: Engineering quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-04-18T14:10:00,16,,,,Low,true
52,76,"20,3,29,1",,Sentinel Security Suite v4.1.15 release candidate ready for review,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2025-04-24T16:37:00,12,,,,Medium,true
53,148,"30,28,32,2",,Onboarding: customer go-live next week,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2024-08-22T14:55:00,17,9,,,Medium,false
54,120,"1,40,35",30,Q3 roadmap review — Q3 initiative milestones,Post-mortem notes for Incident #43 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-12-13T09:06:00,,,,43,Medium,true
55,145,25,,CustomerIQ v2.8.16 release candidate ready for review,We just got escalated from the customer. They've been down for 45 minutes. Incident #58 is being tracked — can engineering jump on a bridge call?,2024-07-16T17:27:00,,,,58,Medium,false
56,4,"14,31,43,44",,Customer escalation — customer experiencing outage,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-02-18T14:49:00,,,,,Critical,true
57,14,29,,department all-hands follow-up,The TechCorp AI Core billing integration is throwing errors for Phoenix Security Solutions. We've opened ticket #336 and engaged the platform team.,2025-03-15T18:51:00,18,,46,,Low,false
58,20,"38,15,43","52,80",Customer escalation — customer experiencing outage,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-01-22T16:22:00,19,18,,,Critical,false
59,30,"135,4",,Weekly engineering sync notes,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-12-11T17:00:00,,,,,Low,false
60,32,"15,31,34,25","4,11",department all-hands follow-up,All-hands reminder: Engineering quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-07-27T15:18:00,20,9,6,,Low,true
61,146,"25,7",,Compliance audit findings — action required,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-09-01T10:33:00,6,,,,High,true
62,10,"13,7,4",,Sprint planning — Q3 initiative backlog prioritization,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-06-26T11:11:00,,,,,Medium,false
63,11,"40,20,16",,CustomerIQ release planning — feedback requested,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-11-05T16:55:00,4,,,,Medium,true
64,69,"25,26,4",,Sentinel Security Suite release planning — feedback requested,Security advisory: a critical CVE was published affecting our InsightFlow Analytics dependency chain. Patch window is 48 hours per our SLA.,2024-12-06T17:47:00,21,,,21,Medium,false
65,42,"5,41",7,TeamSync Collaboration release planning — feedback requested,Following up on our architecture review. The Marketing Attribution Model data model changes need approval before we proceed with the migration.,2024-12-28T09:49:00,19,24,,,Medium,true
66,13,21,80,Integration issue: TeamSync Collaboration + customer SSO config,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-10-10T11:25:00,,,,,High,true
67,27,"38,44,1,19",,Post-incident review: production issue,The TeamSync Collaboration billing integration is throwing errors for the customer. We've opened ticket #353 and engaged the platform team.,2025-06-24T07:43:00,22,,,,High,true
68,18,"13,1,22",,Post-incident review: production issue,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-12-05T11:28:00,23,18,18,,High,true
69,57,"2,30,41,20",,Urgent: production issue customer impact escalating,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-08-10T15:34:00,,,,,High,false
70,139,3,,Compliance audit findings — action required,All-hands reminder: Engineering quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-01-08T11:23:00,24,,,,High,false
71,68,"35,22,21",,CustomerIQ v3.4.11 release candidate ready for review,All-hands reminder: IT quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-02-02T14:40:00,12,,,37,Medium,false
72,39,"12,25,1,11",52,department all-hands follow-up,Security advisory: a critical CVE was published affecting our DataVault Backup dependency chain. Patch window is 48 hours per our SLA.,2024-08-02T13:17:00,,,,,Low,false
73,104,52,,Compliance audit findings — action required,Security advisory: a critical CVE was published affecting our DataVault Backup dependency chain. Patch window is 48 hours per our SLA.,2025-04-04T13:06:00,,,,55,High,true
74,136,33,,Integration issue: TechCorp AI Core + customer SSO config,Can someone from engineering review PR #3421? It addresses the Incident #40 root cause and needs sign-off before we can close the change request.,2025-02-03T14:40:00,13,,,40,High,true
75,40,"38,26","80,30",TeamSync Collaboration v4.8.14 release candidate ready for review,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-10-25T15:14:00,25,,,,Medium,false
76,88,"26,4,38,21",,Approval needed: Change #19 for Sentinel Security Suite,All-hands reminder: Engineering quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-11-20T11:38:00,10,17,,,Medium,true
77,107,"14,4,6,25",,Re: Q3 initiative — status update needed,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-07-31T18:34:00,26,,46,,Medium,false
78,46,"38,31,21",,Weekly engineering sync notes,We just got escalated from FusionWare Labs. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-05-07T11:17:00,,10,30,,Low,true
79,11,13,,Approval needed: Change #30 for Sentinel Security Suite,"Team, we need to align on the Partner API Gateway deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-09-23T14:11:00,16,14,,,Medium,true
80,67,"43,18,5,41",,department all-hands follow-up,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-07-23T10:30:00,,,50,,Low,false
81,93,"2,13,7",,Security advisory: patch window for CustomerIQ,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-11-18T12:00:00,27,,,31,High,true
82,25,"46,135,6",,Security advisory: patch window for TechCorp AI Core,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-12-28T17:09:00,2,,,,High,false
83,20,"41,2,2,39","7,25",Compliance audit findings — action required,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2025-01-29T15:44:00,18,,,,High,false
84,44,25,12,Post-incident review: production issue,The Sentinel Security Suite billing integration is throwing errors for the customer. We've opened ticket #1 and engaged the platform team.,2024-08-06T15:24:00,15,20,,,High,false
85,135,"26,38",,Integration issue: Sentinel Security Suite + Chengdu Precision Instruments SSO config,The TechCorp AI Core billing integration is throwing errors for Chengdu Precision Instruments. We've opened ticket #166 and engaged the platform team.,2024-12-01T17:20:00,,20,47,35,High,true
86,10,"7,14,4",,CustomerIQ v5.7.16 release candidate ready for review,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-10-20T08:29:00,28,2,32,3,Medium,false
87,104,"25,11,40",2,Re: Q3 initiative — status update needed,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-03-02T15:24:00,29,,,,Medium,true
88,65,1,,CustomerIQ v4.7.13 release candidate ready for review,The Sentinel Security Suite billing integration is throwing errors for the customer. We've opened ticket #337 and engaged the platform team.,2025-04-09T15:38:00,30,,,,Medium,false
89,91,"30,5,28",,Customer escalation — customer experiencing outage,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-11-09T14:25:00,31,,,,Critical,true
90,78,"3,10","12,52",Re: Q3 initiative — status update needed,The TeamSync Collaboration billing integration is throwing errors for the customer. We've opened ticket #49 and engaged the platform team.,2025-06-09T14:22:00,32,,,,Medium,true
91,105,"40,12",,Security advisory: patch window for CustomerIQ,All-hands reminder: IT quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-07-04T16:52:00,,9,,26,High,false
92,83,"16,80,43,4",,Post-incident review: production issue,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-01-23T15:02:00,33,25,50,,High,false
93,33,"43,30,28,22",12,Post-incident review: production issue,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2025-05-17T14:36:00,34,22,,,High,false
94,116,"27,31",,InsightFlow Analytics v5.6.20 release candidate ready for review,The InsightFlow Analytics billing integration is throwing errors for DataStream Analytics. We've opened ticket #37 and engaged the platform team.,2025-02-12T13:20:00,28,,9,,Medium,false
95,15,"1,12,32",,Post-incident review: production issue,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-06-06T10:12:00,24,11,,,High,false
96,14,9,,Urgent: Incident #45 customer impact escalating,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-09-26T10:13:00,10,,,45,High,false
97,69,"29,34,25,11",,Compliance audit findings — action required,Security advisory: a critical CVE was published affecting our InsightFlow Analytics dependency chain. Patch window is 48 hours per our SLA.,2024-11-02T17:00:00,35,,,,High,true
98,73,"4,14,22,39",52,Onboarding: customer go-live next week,Post-mortem notes for Incident #19 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-03-19T15:29:00,,,,19,Medium,false
99,25,"13,34,10","12,4",Sprint planning — Disaster Recovery Drill backlog prioritization,Security advisory: a critical CVE was published affecting our Sentinel Security Suite dependency chain. Patch window is 48 hours per our SLA.,2025-02-05T10:09:00,36,16,,23,Medium,false
100,30,"32,12,19",,Weekly engineering sync notes,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-09-24T17:51:00,15,,,,Low,true
101,90,"33,28",,Urgent: production issue customer impact escalating,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-01-17T09:46:00,,,,,High,true
102,120,"30,43,2",,Customer escalation — customer experiencing outage,"Team, we need to align on the Marketing Attribution Model deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-09-11T16:14:00,,24,,,Critical,false
103,30,"2,15,22",,Q3 roadmap review — Q3 initiative milestones,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-12-01T07:59:00,37,,,,Medium,true
104,55,"31,21,38,10",,Weekly engineering sync notes,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-06-07T16:47:00,,,,60,Low,false
105,91,25,4,Sprint planning — Q3 initiative backlog prioritization,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-06-08T15:24:00,38,,,,Medium,false
106,5,39,,Onboarding: Latam Trade Partners go-live next week,We just got escalated from Latam Trade Partners. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-10-15T08:11:00,20,,11,,Medium,false
107,29,6,"11,2",Integration issue: TeamSync Collaboration + customer SSO config,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-12-25T08:33:00,2,19,,,High,false
108,146,"28,34,30",,Sprint planning — Vendor Risk Assessment backlog prioritization,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-01-22T11:46:00,,18,,,Medium,false
109,80,"22,27,4,31",,Approval needed: Change #1 for InsightFlow Analytics,Following up on our architecture review. The Compliance Automation Initiative data model changes need approval before we proceed with the migration.,2024-12-01T14:05:00,,5,,49,Medium,false
110,63,1,"25,4",Re: Chatbot Intent Expansion — status update needed,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-05-15T07:06:00,,21,,,Medium,false
111,38,"19,42",,Urgent: production issue customer impact escalating,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-12-22T13:52:00,,,,,High,true
112,9,135,,Weekly engineering sync notes,The TechCorp AI Core billing integration is throwing errors for the customer. We've opened ticket #371 and engaged the platform team.,2024-07-11T16:59:00,18,14,,,Low,false
113,80,"32,29",,Sprint planning — Multi-Region Deployment backlog prioritization,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-03-01T18:18:00,39,19,,,Medium,false
114,25,"11,12,13,29",,Re: Real-Time Analytics Dashboard — status update needed,Following up on our architecture review. The Real-Time Analytics Dashboard data model changes need approval before we proceed with the migration.,2025-02-04T11:50:00,40,7,,,Medium,true
115,145,1,80,Security advisory: patch window for CustomerIQ,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-04-10T17:29:00,41,11,,,High,false
116,97,3,,DataVault Backup v4.8.17 release candidate ready for review,Quick update — the Pan-Asia Supply Chain Corp onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-02-05T07:21:00,42,,34,,Medium,false
117,39,7,,Onboarding: customer go-live next week,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-01-25T10:33:00,39,25,,,Medium,false
118,107,"22,30,2,11",,TechCorp AI Core release planning — feedback requested,The InsightFlow Analytics billing integration is throwing errors for the customer. We've opened ticket #74 and engaged the platform team.,2025-05-09T15:43:00,,,,,Medium,false
119,2,13,,Q3 roadmap review — Q3 initiative milestones,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-09-06T11:40:00,43,,3,,Medium,false
120,50,"7,80","1,2",Customer escalation — customer experiencing outage,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-01-16T11:09:00,21,,,,Critical,false
121,78,"2,20",,Compliance audit findings — action required,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2025-05-15T13:25:00,20,,,,High,true
122,129,42,,Post-incident review: production issue,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-11-01T08:29:00,,7,,,High,false
123,134,"10,19,21",2,Onboarding: Urban Harvest Grocers go-live next week,Quick update — the Urban Harvest Grocers onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-02-04T12:38:00,44,20,24,,Medium,false
124,19,"5,32,28,1",,TeamSync Collaboration v5.6.18 release candidate ready for review,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-07-08T16:27:00,45,18,,,Medium,false
125,99,"80,29,30,19",,Weekly engineering sync notes,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-05-24T16:06:00,43,,,,Low,false
126,109,42,,Post-incident review: production issue,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-08-17T16:28:00,46,7,,,High,true
127,92,"25,29,4",,Onboarding: customer go-live next week,The Sentinel Security Suite billing integration is throwing errors for the customer. We've opened ticket #151 and engaged the platform team.,2025-05-28T12:57:00,47,,,,Medium,false
128,4,7,,Re: Q3 initiative — status update needed,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-12-15T13:24:00,,,,,Medium,false
129,41,"34,52,4",,Q3 roadmap review — Q3 initiative milestones,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-11-17T09:05:00,25,,,,Medium,true
130,121,"19,22",,Compliance audit findings — action required,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-03-25T13:38:00,,,,,High,true
131,61,"80,29,20",,Approval needed: Change #31 for CustomerIQ,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-10-07T08:33:00,,18,,3,Medium,false
132,63,"31,7,11",,CustomerIQ release planning — feedback requested,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-10-31T16:46:00,48,,41,,Medium,false
133,82,32,,Customer escalation — customer experiencing outage,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-01-30T18:39:00,39,,,,Critical,true
134,14,"35,19",,Approval needed: Change #12 for CustomerIQ,Security advisory: a critical CVE was published affecting our DataVault Backup dependency chain. Patch window is 48 hours per our SLA.,2025-03-28T15:55:00,18,20,17,8,Medium,true
135,32,"35,18",,Sentinel Security Suite release planning — feedback requested,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-08-04T11:48:00,49,,,,Medium,false
136,39,"35,40,14,20","135,4",Re: Q3 initiative — status update needed,Security advisory: a critical CVE was published affecting our TeamSync Collaboration dependency chain. Patch window is 48 hours per our SLA.,2025-01-18T15:43:00,31,,,,Medium,false
137,102,"7,135,6",,Sentinel Security Suite release planning — feedback requested,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-07-19T16:49:00,,,,,Medium,true
138,43,"12,4,40,8",,Customer escalation — EuroFinance AG experiencing outage,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-08-28T17:57:00,1,,7,,Critical,false
139,26,"80,39",52,Post-incident review: production issue,"Hi all, please review the attached CustomerIQ release notes. We're targeting a staged rollout starting next Tuesday.",2024-11-22T18:57:00,,20,43,,High,false
140,93,6,,Compliance audit findings — action required,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2024-10-20T10:39:00,50,2,,,High,false
141,140,"135,11,12","80,30",Onboarding: customer go-live next week,All-hands reminder: IT quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-07-29T17:00:00,51,,,29,Medium,false
