release_id,product_id,version,release_date,author_id,title,summary,breaking_changes,features,bug_fixes,change_ids,incident_fixes
28,11,3.5.9,2025-04-22,19,CustomerIQ v3.5.9 — Platform Upgrade,Release 3.5.9 for CustomerIQ. Includes 1 changes and 2 incident fixes.,false,"Database engine upgrade to v15.2, Improved backup compression (60% storage savings), Cross-region replication GA","Fixed replication lag monitoring alert threshold, Resolved backup corruption on large tenants, Fixed failover timing for APAC region",20,"25,42"
29,11,2.6.16,2025-06-18,17,CustomerIQ v2.6.16 — Security Patch Release,Release 2.6.16 for CustomerIQ. Includes 3 changes and 1 incident fixes.,false,"Enhanced MFA enforcement for admin accounts, New audit log retention controls, Improved password policy configuration","Patched CVE-2025-1234 (dependency vulnerability), Fixed authorization bypass on nested resources, Resolved TLS 1.0 fallback issue","20,12,14",50
30,3,3.1.9,2024-10-11,41,TechCorp AI Core v3.1.9 — Security Patch Release,Release 3.1.9 for TechCorp AI Core. Includes 1 changes and 1 incident fixes.,false,"Enhanced MFA enforcement for admin accounts, New audit log retention controls, Improved password policy configuration","Patched CVE-2025-1234 (dependency vulnerability), Fixed authorization bypass on nested resources, Resolved TLS 1.0 fallback issue",43,57
31,10,5.2.5,2025-04-04,46,CustomerIQ v5.2.5 — Security Patch Release,Release 5.2.5 for CustomerIQ. Includes 4 changes and 2 incident fixes.,false,"Enhanced MFA enforcement for admin accounts, New audit log retention controls, Improved password policy configuration","Patched CVE-2025-1234 (dependency vulnerability), Fixed authorization bypass on nested resources, Resolved TLS 1.0 fallback issue","3,27,24,44","16,29"
32,8,3.8.7,2024-10-30,13,TeamSync Collaboration v3.8.7 — Maintenance & Bug Fix Release,Release 3.8.7 for TeamSync Collaboration. Includes 2 changes and 2 incident fixes.,false,"Improved error messages for common config issues, Enhanced admin audit log filtering","Fixed 23 minor bugs including: pagination off-by-one, timezone DST transition, bulk import validation, email template rendering","24,44","29,30"
33,9,5.2.6,2025-02-19,43,TeamSync Collaboration v5.2.6 — Integration & API Release,Release 5.2.6 for TeamSync Collaboration. Includes 1 changes and 1 incident fixes.,false,"New REST API v2 endpoints, Webhook retry with exponential backoff, Salesforce & HubSpot native connectors","Fixed webhook signature verification edge case, Resolved OAuth token refresh race condition, Fixed rate limit header accuracy",42,56
34,12,2.4.2,2025-02-08,45,DataVault Backup v2.4.2 — Performance & Stability Release,Release 2.4.2 for DataVault Backup. Includes 4 changes and 0 incident fixes.,false,"Query performance improvements (40% faster dashboard loads), New export formats (Parquet, XLSX), Enhanced rate limiting controls","Fixed dashboard timeout for reports >100k rows, Resolved SSO session renewal race condition, Fixed CSV export encoding for CJK characters","33,10,28,6",
35,1,5.0.12,2025-02-27,17,TechCorp AI Core v5.0.12 — Feature Release: AI Copilot,Release 5.0.12 for TechCorp AI Core. Includes 4 changes and 1 incident fixes.,true,"AI Copilot for query generation (beta), Natural language dashboard creation, Auto-generated insights summaries","Fixed intermittent timeout on large dataset exports, Resolved notification delivery delays, Fixed mobile viewport rendering","6,24,15,2",60
36,11,4.2.4,2025-02-01,80,CustomerIQ v4.2.4 — Maintenance & Bug Fix Release,Release 4.2.4 for CustomerIQ. Includes 4 changes and 1 incident fixes.,false,"Improved error messages for common config issues, Enhanced admin audit log filtering","Fixed 23 minor bugs including: pagination off-by-one, timezone DST transition, bulk import validation, email template rendering","45,9,49,46",29
37,1,4.3.4,2025-05-02,21,TechCorp AI Core v4.3.4 — Performance & Stability Release,Release 4.3.4 for TechCorp AI Core. Includes 3 changes and 0 incident fixes.,false,"Query performance improvements (40% faster dashboard loads), New export formats (Parquet, XLSX), Enhanced rate limiting controls","Fixed dashboard timeout for reports >100k rows, Resolved SSO session renewal race condition, Fixed CSV export encoding for CJK characters","16,20,8",
38,10,5.1.3,2024-09-26,25,CustomerIQ v5.1.3 — Maintenance & Bug Fix Release,Release 5.1.3 for CustomerIQ. Includes 1 changes and 2 incident fixes.,false,"Improved error messages for common config issues, Enhanced admin audit log filtering","Fixed 23 minor bugs including: pagination off-by-one, timezone DST transition, bulk import validation, email template rendering",41,"37,16"
39,7,2.9.11,2024-09-08,50,Sentinel Security Suite v2.9.11 — Feature Release: AI Copilot,Release 2.9.11 for Sentinel Security Suite. Includes 4 changes and 1 incident fixes.,false,"AI Copilot for query generation (beta), Natural language dashboard creation, Auto-generated insights summaries","Fixed intermittent timeout on large dataset exports, Resolved notification delivery delays, Fixed mobile viewport rendering","12,43,6,34",5
40,9,2.6.15,2024-12-11,80,TeamSync Collaboration v2.6.15 — Platform Upgrade,Release 2.6.15 for TeamSync Collaboration. Includes 3 changes and 1 incident fixes.,true,"Database engine upgrade to v15.2, Improved backup compression (60% storage savings), Cross-region replication GA","Fixed replication lag monitoring alert threshold, Resolved backup corruption on large tenants, Fixed failover timing for APAC region","17,48,2",51
